review_id,run_id,source_layer,source_id,source_name,source_type,master_site_id_candidate,master_site_name,master_site_type,distance_m,score,review_bucket,review_action_default,suggested_decision,business_decision,comments,qa_color,qa_icon,WKT
490a6da5-1959-4caf-a08e-3db01d690823,e60088e9-cf94-4e41-ae65-a5390866b4b8,infra.huilerie,225,Ain Mandar,HUILERIE,a32a13ec-a661-4f4e-80b3-5d9da6289724,Ain Mandar,infra.huilerie_inventaire_pollution,0.24,0.740,VERY_CLOSE_2M,NEED_REVIEW,NEED_REVIEW,,,#f59e0b,alert,POINT(506114 454644)
dd22ee53-e8bd-4dd4-a341-bfbe65e2fa11,e60088e9-cf94-4e41-ae65-a5390866b4b8,infra.huilerie,211,Sni Messara,HUILERIE,ffc2fed2-9c0c-4ed5-bad1-702f61dc6bbb,Sni Messara,infra.huilerie_inventaire_pollution,0.25,0.740,VERY_CLOSE_2M,NEED_REVIEW,NEED_REVIEW,,,#f59e0b,alert,POINT(493380 452268)
e2748999-c4e6-4a5b-b496-126e3d288e76,e60088e9-cf94-4e41-ae65-a5390866b4b8,infra.huilerie,528,JAWHARAT ZOYOUT LEHGUI ,HUILERIE,9ddd198a-ad0b-4e12-a315-2ce5ae77d832,JAWHARAT ZOYOUT LEHGUI,infra.huilerie_inventaire_pollution,0.25,0.740,VERY_CLOSE_2M,NEED_REVIEW,NEED_REVIEW,,,#f59e0b,alert,POINT(511694 374119)
d3ee2bc2-53e9-4873-ad08-f2f1f63aaa57,e60088e9-cf94-4e41-ae65-a5390866b4b8,infra.huilerie,603,Boungab Abdessalam,HUILERIE,f4f6daa9-c2fd-49ad-b6f4-e07102a8c8e5,Boungab Abdessalam,infra.huilerie_inventaire_pollution,0.25,0.740,VERY_CLOSE_2M,NEED_REVIEW,NEED_REVIEW,,,#f59e0b,alert,POINT(502869 370088)
4be280aa-8b8e-481b-b132-e8b642293f19,e60088e9-cf94-4e41-ae65-a5390866b4b8,infra.huilerie,605,Huilerie Lalla Joumana,HUILERIE,b4e300b4-e545-4579-bd10-5ecc302cb9b1,Huilerie Lalla Joumana,infra.huilerie_inventaire_pollution,0.25,0.740,VERY_CLOSE_2M,NEED_REVIEW,NEED_REVIEW,,,#f59e0b,alert,POINT(495693 371124)
69118f7b-8443-426b-a262-c1812cc6e53a,e60088e9-cf94-4e41-ae65-a5390866b4b8,infra.decharge,111,el batma,DECHARGE,fe0b0c55-772b-4667-80e6-e67b5c4bd4c9,El Batma,infra.decharge_inventaire_pollution_general,0.28,0.740,VERY_CLOSE_2M,NEED_REVIEW,NEED_REVIEW,,,#f59e0b,alert,POINT(478538.72 461448.99)
0ab327c1-f577-48d5-8bd8-2f0f533ed9bd,e60088e9-cf94-4e41-ae65-a5390866b4b8,infra.huilerie,213,Alhalouiyine,HUILERIE,68c2ef39-af73-46ee-8e9f-60ed84a20838,Alhalouiyine,infra.huilerie_inventaire_pollution,0.28,0.740,VERY_CLOSE_2M,NEED_REVIEW,NEED_REVIEW,,,#f59e0b,alert,POINT(498379 451161)
c8cb722c-0261-457e-8f8e-b5d8bff59314,e60088e9-cf94-4e41-ae65-a5390866b4b8,infra.huilerie,469,BARAKA,HUILERIE,6eadca42-a17c-4bd5-b835-964129ade136,BARAKA,infra.huilerie_inventaire_pollution,0.28,0.740,VERY_CLOSE_2M,NEED_REVIEW,NEED_REVIEW,,,#f59e0b,alert,POINT(552397 357817)
f327361e-1913-4c9d-838d-9df0d1ed5703,e60088e9-cf94-4e41-ae65-a5390866b4b8,infra.huilerie,548,"H, BEN MOUSSA",HUILERIE,ef0693c9-198f-46b6-875f-d24e33d0329f,"H, BEN MOUSSA",infra.huilerie_inventaire_pollution,0.28,0.740,VERY_CLOSE_2M,NEED_REVIEW,NEED_REVIEW,,,#f59e0b,alert,POINT(488638 384208)
88ca8611-f60f-4bbe-be10-d11ac2701faf,e60088e9-cf94-4e41-ae65-a5390866b4b8,infra.huilerie,38,STE.HOLDING DE TRAITEMENT D'OLIVE,HUILERIE,2db962ed-b31c-47a9-acad-105cfdbaca12,STE.HOLDING DE TRAITEMENT D'OLIVE,infra.huilerie_inventaire_pollution,0.30,0.740,VERY_CLOSE_2M,NEED_REVIEW,NEED_REVIEW,,,#f59e0b,alert,POINT(500678 343691)
7855d6cc-0ecc-43f4-b6d7-05bb3d561359,e60088e9-cf94-4e41-ae65-a5390866b4b8,infra.huilerie,196,Ste Huile d'olive des produits de terroir,HUILERIE,b566ee6e-7401-414f-8c67-fb5781dd0d81,Ste Huile d'olive des produits de terroir,infra.huilerie_inventaire_pollution,0.31,0.740,VERY_CLOSE_2M,NEED_REVIEW,NEED_REVIEW,,,#f59e0b,alert,POINT(486764 461952)
2f678fdd-3d3f-44bd-9701-f435248584eb,e60088e9-cf94-4e41-ae65-a5390866b4b8,infra.huilerie,61,FATTAH ABDELLKADAR,HUILERIE,4e1d779c-3b2e-419d-9d53-ff213c02adc0,FATTAH ABDELLKADAR,infra.huilerie_inventaire_pollution,0.31,0.740,VERY_CLOSE_2M,NEED_REVIEW,NEED_REVIEW,,,#f59e0b,alert,POINT(474184 346708)
5e9cb9c7-2df3-4f97-9a75-a65ce1e215ab,e60088e9-cf94-4e41-ae65-a5390866b4b8,infra.decharge,37,décharge elmers,DECHARGE,ff39b5a5-88a3-4b1f-a328-7639a89b8332,Décharge Elmers,infra.decharge_inventaire_pollution_general,0.32,0.740,VERY_CLOSE_2M,NEED_REVIEW,NEED_REVIEW,,,#f59e0b,alert,POINT(587704.96 317673.32)
756eb62a-38bd-4ea1-81c3-25faaf735173,e60088e9-cf94-4e41-ae65-a5390866b4b8,infra.huilerie,198,Huillerie Bachir,HUILERIE,97cbe82f-6fce-4cd0-996e-8f6f4d959249,Huillerie Bachir,infra.huilerie_inventaire_pollution,0.33,0.740,VERY_CLOSE_2M,NEED_REVIEW,NEED_REVIEW,,,#f59e0b,alert,POINT(486369 464928)
9146843f-0c2c-4e06-a952-44a216535762,e60088e9-cf94-4e41-ae65-a5390866b4b8,infra.decharge,140,sahel belfal,DECHARGE,ec71d9fa-0888-4dbb-a32b-e95db08c2205,Sahel Belfal,infra.decharge_inventaire_pollution_general,0.34,0.740,VERY_CLOSE_2M,NEED_REVIEW,NEED_REVIEW,,,#f59e0b,alert,POINT(445531.03 407176.66)
e36c907f-dfdf-41d0-a992-720a17bdf9f5,e60088e9-cf94-4e41-ae65-a5390866b4b8,infra.decharge,141,sahel belfal,DECHARGE,ec71d9fa-0888-4dbb-a32b-e95db08c2205,Sahel Belfal,infra.decharge_inventaire_pollution_general,0.34,0.740,VERY_CLOSE_2M,NEED_REVIEW,NEED_REVIEW,,,#f59e0b,alert,POINT(445531.03 407176.66)
17089cf7-7789-4f61-a81b-9d8eeeb171fb,e60088e9-cf94-4e41-ae65-a5390866b4b8,infra.decharge,142,sahel belfal,DECHARGE,ec71d9fa-0888-4dbb-a32b-e95db08c2205,Sahel Belfal,infra.decharge_inventaire_pollution_general,0.34,0.740,VERY_CLOSE_2M,NEED_REVIEW,NEED_REVIEW,,,#f59e0b,alert,POINT(445531.03 407176.66)
b413ecaa-7d70-4f27-8d32-0a711113465d,e60088e9-cf94-4e41-ae65-a5390866b4b8,infra.decharge,143,sahel belfal,DECHARGE,ec71d9fa-0888-4dbb-a32b-e95db08c2205,Sahel Belfal,infra.decharge_inventaire_pollution_general,0.34,0.740,VERY_CLOSE_2M,NEED_REVIEW,NEED_REVIEW,,,#f59e0b,alert,POINT(445531.03 407176.66)
ad638bdd-312c-47cd-8afb-ac6f61935f6b,e60088e9-cf94-4e41-ae65-a5390866b4b8,infra.decharge,146,sahel belfal,DECHARGE,ec71d9fa-0888-4dbb-a32b-e95db08c2205,Sahel Belfal,infra.decharge_inventaire_pollution_general,0.34,0.740,VERY_CLOSE_2M,NEED_REVIEW,NEED_REVIEW,,,#f59e0b,alert,POINT(445531.03 407176.66)
2ad827a9-6301-463f-947e-36546861cc0e,e60088e9-cf94-4e41-ae65-a5390866b4b8,infra.decharge,147,sahel belfal,DECHARGE,ec71d9fa-0888-4dbb-a32b-e95db08c2205,Sahel Belfal,infra.decharge_inventaire_pollution_general,0.34,0.740,VERY_CLOSE_2M,NEED_REVIEW,NEED_REVIEW,,,#f59e0b,alert,POINT(445531.03 407176.66)
37f7fd9a-ad49-46bb-a160-2f6748a150b0,e60088e9-cf94-4e41-ae65-a5390866b4b8,infra.decharge,148,sahel belfal,DECHARGE,ec71d9fa-0888-4dbb-a32b-e95db08c2205,Sahel Belfal,infra.decharge_inventaire_pollution_general,0.34,0.740,VERY_CLOSE_2M,NEED_REVIEW,NEED_REVIEW,,,#f59e0b,alert,POINT(445531.03 407176.66)
e41aa469-e9df-4e4b-9f00-01dfb6aa6632,e60088e9-cf94-4e41-ae65-a5390866b4b8,infra.decharge,149,sahel belfal,DECHARGE,ec71d9fa-0888-4dbb-a32b-e95db08c2205,Sahel Belfal,infra.decharge_inventaire_pollution_general,0.34,0.740,VERY_CLOSE_2M,NEED_REVIEW,NEED_REVIEW,,,#f59e0b,alert,POINT(445531.03 407176.66)
de0dd92e-0ccd-4e5b-8bcf-e61b86699a20,e60088e9-cf94-4e41-ae65-a5390866b4b8,infra.huilerie,30,H.HAJ MIMOUN CHACHOU,HUILERIE,1fc57149-4b5d-48ff-9ca3-c7b2b7065b37,H.HAJ MIMOUN CHACHOU,infra.huilerie_inventaire_pollution,0.34,0.740,VERY_CLOSE_2M,NEED_REVIEW,NEED_REVIEW,,,#f59e0b,alert,POINT(502960 357148)
e19be4d1-01d3-421c-b80e-f1d3cb1716fb,e60088e9-cf94-4e41-ae65-a5390866b4b8,infra.huilerie,36,STE.MABROUKA CHAYMA(ADBAR),HUILERIE,b39a1804-d79a-4101-afe1-91c5ada4d78b,STE.MABROUKA CHAYMA(ADBAR),infra.huilerie_inventaire_pollution,0.34,0.740,VERY_CLOSE_2M,NEED_REVIEW,NEED_REVIEW,,,#f59e0b,alert,POINT(471089 353837)
1688cb08-2828-43c8-bb97-d914cbae2380,e60088e9-cf94-4e41-ae65-a5390866b4b8,infra.huilerie,57,H.LAGNAOUI HMED,HUILERIE,3b640b2f-a3c9-4809-88ad-25f569c45654,H.LAGNAOUI HMED,infra.huilerie_inventaire_pollution,0.34,0.740,VERY_CLOSE_2M,NEED_REVIEW,NEED_REVIEW,,,#f59e0b,alert,POINT(517949 372323)
759bd20e-5925-4f3d-abf5-cd1f2cd8d39e,e60088e9-cf94-4e41-ae65-a5390866b4b8,infra.huilerie,606,Hamid Amarouch,HUILERIE,b4867e26-fbf7-4d00-b207-6a97f0fccfbd,Hamid Amarouch,infra.huilerie_inventaire_pollution,0.35,0.740,VERY_CLOSE_2M,NEED_REVIEW,NEED_REVIEW,,,#f59e0b,alert,POINT(497325 370211)
0916867e-e5cb-44f0-900f-f3736e03ca65,e60088e9-cf94-4e41-ae65-a5390866b4b8,infra.huilerie,436,Non-connue 5,HUILERIE,dcef388d-628f-46fe-b796-7223e7afc3a6,Non-connue 5,infra.huilerie_inventaire_pollution,0.36,0.740,VERY_CLOSE_2M,NEED_REVIEW,NEED_REVIEW,,,#f59e0b,alert,POINT(594112 357297)
0d0647f1-41ba-4fc2-82c9-3625dd792d8f,e60088e9-cf94-4e41-ae65-a5390866b4b8,infra.huilerie,445,H.ABDELKADAR TAZI,HUILERIE,3846efc6-583b-438d-8021-abfb588b7bd4,H.ABDELKADAR TAZI,infra.huilerie_inventaire_pollution,0.36,0.740,VERY_CLOSE_2M,NEED_REVIEW,NEED_REVIEW,,,#f59e0b,alert,POINT(527801 360706)
8ee85237-88b5-4a4e-b0ef-0a8df1612fad,e60088e9-cf94-4e41-ae65-a5390866b4b8,infra.mine,32,STE RIHAM IKHWANE,MINE,0526c8b7-1da2-4e96-b606-ea3f849a6ae2,STE RIHAM IKHWANE,infra.mine_inventaire_pollution,0.36,0.740,VERY_CLOSE_2M,NEED_REVIEW,NEED_REVIEW,,,#f59e0b,alert,POINT(511044 388316)
