review_id,run_id,source_layer,source_id,source_name,source_type,master_site_id_candidate,master_site_name,master_site_type,distance_m,score,confidence_level,conflict_type,review_priority,recommended_decision,qa_reason,qa_color,qa_icon,risk_category,geometry_source_wkt,geometry_master_wkt,geometry_display_wkt,geom_wkt
4b8815f4-04f1-47b4-9fa5-af11e398f5a3,e60088e9-cf94-4e41-ae65-a5390866b4b8,infra.huilerie_inventaire_pollution,38d9e3c5-fbe2-4475-bda8-a181383fdf62,Huilerie El Zarhouni,HUILERIE,1b6c6974-11a2-4627-85c9-c29fd34e9fda,Huilerie El Zarhouni,infra.huilerie_inventaire_pollution,0.0,0.925,HIGH_CONFIDENCE,DUPLICATE_EXACT,1,MANUAL_REVIEW_REQUIRED,distance=0.00m; nom=1.00; commune=1.00; priorite=5,#2563eb,check-circle,HIGH_CONFIDENCE,POINT(470548 401537),POINT(470548 401537),POINT(470548 401537),POINT(470548 401537)
da1dda1f-02eb-4670-861f-8ff40ad5add4,e60088e9-cf94-4e41-ae65-a5390866b4b8,infra.huilerie_inventaire_pollution,4502220b-0be7-496d-bc3c-246c2c0f15fb,Huilerie Elharrati ait Krat,HUILERIE,f73ee695-1d9a-49f8-a9ed-54c7fd0a1244,Huilerie Elharrati ait Krat,infra.huilerie_inventaire_pollution,0.0,0.925,HIGH_CONFIDENCE,DUPLICATE_EXACT,1,MANUAL_REVIEW_REQUIRED,distance=0.00m; nom=1.00; commune=1.00; priorite=5,#2563eb,check-circle,HIGH_CONFIDENCE,POINT(475332 351711),POINT(475332 351711),POINT(475332 351711),POINT(475332 351711)
c0d8d139-a03d-4bfd-9c8d-5f7206a55bea,e60088e9-cf94-4e41-ae65-a5390866b4b8,infra.huilerie_inventaire_pollution,33e55efc-7b6f-4bb7-a6ca-1ff9675c869a,Huilerie Elhmad,HUILERIE,5b883c87-9dcb-423a-a580-cc157baf78c2,Huilerie Elhmad,infra.huilerie_inventaire_pollution,0.0,0.925,HIGH_CONFIDENCE,DUPLICATE_EXACT,1,MANUAL_REVIEW_REQUIRED,distance=0.00m; nom=1.00; commune=1.00; priorite=5,#2563eb,check-circle,HIGH_CONFIDENCE,POINT(469661 400446),POINT(469661 400446),POINT(469661 400446),POINT(469661 400446)
f0823a6f-5c26-426a-b7b3-8afdbe82b8e8,e60088e9-cf94-4e41-ae65-a5390866b4b8,infra.huilerie_inventaire_pollution,715d5a3c-7d75-452f-9b91-68337c2fd770,Huilerie extra du maroc,HUILERIE,6bf940d2-a2f8-48f3-92ed-62702a6e1134,Huilerie extra du maroc,infra.huilerie_inventaire_pollution,0.0,0.925,HIGH_CONFIDENCE,DUPLICATE_EXACT,1,MANUAL_REVIEW_REQUIRED,distance=0.00m; nom=1.00; commune=1.00; priorite=5,#2563eb,check-circle,HIGH_CONFIDENCE,POINT(504478 370222),POINT(504478 370222),POINT(504478 370222),POINT(504478 370222)
7731ac31-126a-4bd1-bc06-4b0d879140f1,e60088e9-cf94-4e41-ae65-a5390866b4b8,infra.huilerie_inventaire_pollution,a87dcd71-4939-4cfc-ae54-369f0850aeb9,Huilerie extra du Maroc,HUILERIE,27dd1221-29d5-406d-849a-8b6a7f84c646,Huilerie extra du Maroc,infra.huilerie_inventaire_pollution,0.0,0.925,HIGH_CONFIDENCE,DUPLICATE_EXACT,1,MANUAL_REVIEW_REQUIRED,distance=0.00m; nom=1.00; commune=1.00; priorite=5,#2563eb,check-circle,HIGH_CONFIDENCE,POINT(504465 370210),POINT(504465 370210),POINT(504465 370210),POINT(504465 370210)
d1e7e357-da55-4987-b7e5-313bd522ba2e,e60088e9-cf94-4e41-ae65-a5390866b4b8,infra.huilerie_inventaire_pollution,2d12bd6b-3753-4c2c-8e11-6a670dc5a08d,Huilerie Khlifi Fel,HUILERIE,17bf4111-6891-40e9-b500-340c140eb7f9,Huilerie Khlifi Fel,infra.huilerie_inventaire_pollution,0.0,0.925,HIGH_CONFIDENCE,DUPLICATE_EXACT,1,MANUAL_REVIEW_REQUIRED,distance=0.00m; nom=1.00; commune=1.00; priorite=5,#2563eb,check-circle,HIGH_CONFIDENCE,POINT(591956 443937),POINT(591956 443937),POINT(591956 443937),POINT(591956 443937)
c1b7a957-dee7-4004-aae9-ba99c516afec,e60088e9-cf94-4e41-ae65-a5390866b4b8,infra.huilerie_inventaire_pollution,2a6188a1-bd4f-4945-9717-9d3fde757e87,Huilerie Hafoudi,HUILERIE,e76bc15c-b3f3-40c4-ba20-231572c8e325,Huilerie Hafoudi,infra.huilerie_inventaire_pollution,0.0,0.925,HIGH_CONFIDENCE,DUPLICATE_EXACT,1,MANUAL_REVIEW_REQUIRED,distance=0.00m; nom=1.00; commune=1.00; priorite=5,#2563eb,check-circle,HIGH_CONFIDENCE,POINT(481615 338254),POINT(481615 338254),POINT(481615 338254),POINT(481615 338254)
65a068c3-f2b3-41b8-ade5-d75f32c1a2f7,e60088e9-cf94-4e41-ae65-a5390866b4b8,infra.huilerie_inventaire_pollution,851a29b6-cb75-424b-af96-46e2b512ae57,Huilerie Haj Dkir,HUILERIE,7e12ee8e-55f6-47f2-b3d0-dee29069ae9a,Huilerie Haj Dkir,infra.huilerie_inventaire_pollution,0.0,0.925,HIGH_CONFIDENCE,DUPLICATE_EXACT,1,MANUAL_REVIEW_REQUIRED,distance=0.00m; nom=1.00; commune=1.00; priorite=5,#2563eb,check-circle,HIGH_CONFIDENCE,POINT(492944 440892),POINT(492944 440892),POINT(492944 440892),POINT(492944 440892)
b7e7ce7e-4292-4c22-bfd6-ddf182b6b300,e60088e9-cf94-4e41-ae65-a5390866b4b8,infra.huilerie_inventaire_pollution,8fee9779-7c64-4b70-835c-68f8da2b1d24,Huilerie Hamid EL AICHI,HUILERIE,a9fac709-65c3-4380-bf3d-3b05b72bdc01,Huilerie Hamid EL AICHI,infra.huilerie_inventaire_pollution,0.0,0.925,HIGH_CONFIDENCE,DUPLICATE_EXACT,1,MANUAL_REVIEW_REQUIRED,distance=0.00m; nom=1.00; commune=1.00; priorite=5,#2563eb,check-circle,HIGH_CONFIDENCE,POINT(517511 425971),POINT(517511 425971),POINT(517511 425971),POINT(517511 425971)
d0f6bc87-b19b-47c9-b6be-66c5b0e8d44d,e60088e9-cf94-4e41-ae65-a5390866b4b8,infra.huilerie_inventaire_pollution,3576b1fb-00e8-4d88-afd9-2c1554153367,Huilerie Hassan MOUNACH,HUILERIE,65ef989b-7637-4535-99ce-f42b0499c91a,Huilerie Hassan MOUNACH,infra.huilerie_inventaire_pollution,0.0,0.925,HIGH_CONFIDENCE,DUPLICATE_EXACT,1,MANUAL_REVIEW_REQUIRED,distance=0.00m; nom=1.00; commune=1.00; priorite=5,#2563eb,check-circle,HIGH_CONFIDENCE,POINT(534897 400086),POINT(534897 400086),POINT(534897 400086),POINT(534897 400086)
eee72ea1-f831-413d-a1bf-836b22941495,e60088e9-cf94-4e41-ae65-a5390866b4b8,infra.huilerie_inventaire_pollution,141c306c-5591-42ec-861e-5be3b577970e,Huilerie Idriss BOUTEOUR,HUILERIE,207a00af-ec96-44c9-949b-15280304a914,Huilerie Idriss BOUTEOUR,infra.huilerie_inventaire_pollution,0.0,0.925,HIGH_CONFIDENCE,DUPLICATE_EXACT,1,MANUAL_REVIEW_REQUIRED,distance=0.00m; nom=1.00; commune=1.00; priorite=5,#2563eb,check-circle,HIGH_CONFIDENCE,POINT(543163 397006),POINT(543163 397006),POINT(543163 397006),POINT(543163 397006)
59f5f865-7ace-4e4f-ba9c-e661faed6e8c,e60088e9-cf94-4e41-ae65-a5390866b4b8,infra.huilerie_inventaire_pollution,5ab15729-b135-459b-ab6f-50a49cb5d292,Huilerie Idriss EL NAJAII,HUILERIE,995a62a8-cef9-4992-ab64-39f54a4df043,Huilerie Idriss EL NAJAII,infra.huilerie_inventaire_pollution,0.0,0.925,HIGH_CONFIDENCE,DUPLICATE_EXACT,1,MANUAL_REVIEW_REQUIRED,distance=0.00m; nom=1.00; commune=1.00; priorite=5,#2563eb,check-circle,HIGH_CONFIDENCE,POINT(531867 401064),POINT(531867 401064),POINT(531867 401064),POINT(531867 401064)
1fdc4952-addf-40de-a228-fbe69d1be6ef,e60088e9-cf94-4e41-ae65-a5390866b4b8,infra.huilerie_inventaire_pollution,cf446e36-245a-434b-93d0-85d4faa01c70,Huilerie IMASE,HUILERIE,4ed7c1b1-640a-404a-b664-083352e51b67,Huilerie IMASE,infra.huilerie_inventaire_pollution,0.0,0.925,HIGH_CONFIDENCE,DUPLICATE_EXACT,1,MANUAL_REVIEW_REQUIRED,distance=0.00m; nom=1.00; commune=1.00; priorite=5,#2563eb,check-circle,HIGH_CONFIDENCE,POINT(440340 358265),POINT(440340 358265),POINT(440340 358265),POINT(440340 358265)
9eaf29b5-7108-47c8-8575-b3ae00dd98dd,e60088e9-cf94-4e41-ae65-a5390866b4b8,infra.huilerie_inventaire_pollution,42a685bd-54dc-4f67-bb23-0b5cea180f1e,Huilerie issidouni,HUILERIE,f7430226-42c5-475c-b013-efa96f6d99b0,Huilerie issidouni,infra.huilerie_inventaire_pollution,0.0,0.925,HIGH_CONFIDENCE,DUPLICATE_EXACT,1,MANUAL_REVIEW_REQUIRED,distance=0.00m; nom=1.00; commune=1.00; priorite=5,#2563eb,check-circle,HIGH_CONFIDENCE,POINT(601311 399582),POINT(601311 399582),POINT(601311 399582),POINT(601311 399582)
516ba4d8-b0d7-4428-9131-f5efff294cd0,e60088e9-cf94-4e41-ae65-a5390866b4b8,infra.huilerie_inventaire_pollution,ce8168b6-a906-4519-b77b-62c0e2e1c35a,Huilerie JEAAIT,HUILERIE,b16c9cd3-7fe0-47ec-994b-d26f1ff09fcb,Huilerie JEAAIT,infra.huilerie_inventaire_pollution,0.0,0.925,HIGH_CONFIDENCE,DUPLICATE_EXACT,1,MANUAL_REVIEW_REQUIRED,distance=0.00m; nom=1.00; commune=1.00; priorite=5,#2563eb,check-circle,HIGH_CONFIDENCE,POINT(428358 371792),POINT(428358 371792),POINT(428358 371792),POINT(428358 371792)
a3155b54-b3fb-416b-9434-51f17a5b4af3,e60088e9-cf94-4e41-ae65-a5390866b4b8,infra.huilerie_inventaire_pollution,85f996bc-3b3a-4fba-a891-2be1733e9de3,Huilerie JOUIRI Mhamed,HUILERIE,004bcade-d656-4cfb-869a-3a0990d59fb8,Huilerie JOUIRI Mhamed,infra.huilerie_inventaire_pollution,0.0,0.925,HIGH_CONFIDENCE,DUPLICATE_EXACT,1,MANUAL_REVIEW_REQUIRED,distance=0.00m; nom=1.00; commune=1.00; priorite=5,#2563eb,check-circle,HIGH_CONFIDENCE,POINT(505864 407417),POINT(505864 407417),POINT(505864 407417),POINT(505864 407417)
def71d23-d989-49d8-b395-8c2301e2c38c,e60088e9-cf94-4e41-ae65-a5390866b4b8,infra.huilerie_inventaire_pollution,0efba830-b347-4d40-9715-e108cb95f413,Huilerie Kachour Abdelaziz,HUILERIE,3fd799cf-1ea5-4536-9dea-638862c357fc,Huilerie Kachour Abdelaziz,infra.huilerie_inventaire_pollution,0.0,0.925,HIGH_CONFIDENCE,DUPLICATE_EXACT,1,MANUAL_REVIEW_REQUIRED,distance=0.00m; nom=1.00; commune=1.00; priorite=5,#2563eb,check-circle,HIGH_CONFIDENCE,POINT(517619 494356),POINT(517619 494356),POINT(517619 494356),POINT(517619 494356)
8af3bcc7-1fa8-4a5e-ab05-47947841e177,e60088e9-cf94-4e41-ae65-a5390866b4b8,infra.huilerie_inventaire_pollution,275d0eca-8083-45b7-9433-b9656a96c3c6,Huilerie Karam,HUILERIE,6f694f34-518c-430e-aed1-bd3ad9e4740b,Huilerie Karam,infra.huilerie_inventaire_pollution,0.0,0.925,HIGH_CONFIDENCE,DUPLICATE_EXACT,1,MANUAL_REVIEW_REQUIRED,distance=0.00m; nom=1.00; commune=1.00; priorite=5,#2563eb,check-circle,HIGH_CONFIDENCE,POINT(591956 407705),POINT(591956 407705),POINT(591956 407705),POINT(591956 407705)
ec0cc053-6c78-4955-b4f0-5c129f6de784,e60088e9-cf94-4e41-ae65-a5390866b4b8,infra.huilerie_inventaire_pollution,228ce611-ccd4-4aab-b368-761a74852ad0,Huilerie Khalid HARBOUCH,HUILERIE,01e3831c-f792-4309-83a4-690fa1912603,Huilerie Khalid HARBOUCH,infra.huilerie_inventaire_pollution,0.0,0.925,HIGH_CONFIDENCE,DUPLICATE_EXACT,1,MANUAL_REVIEW_REQUIRED,distance=0.00m; nom=1.00; commune=1.00; priorite=5,#2563eb,check-circle,HIGH_CONFIDENCE,POINT(544792 435047),POINT(544792 435047),POINT(544792 435047),POINT(544792 435047)
