run_id,review_id,candidate_id,source_layer,source_id,master_site_id,distance_m,score,conflict_type,source_name,master_site_name,commune_source,commune_master,source_type_source,source_type_master,recommended_decision,review_priority,review_status,reason
e60088e9-cf94-4e41-ae65-a5390866b4b8,3485cf68-9fb8-4624-aa35-7612c48c1201,,infra.decharge,201,,,,Geometrie source absente.,néant,,,,DECHARGE,,WAIT_SOURCE_FIX,2,PENDING,Geometrie source absente.
e60088e9-cf94-4e41-ae65-a5390866b4b8,1be3354b-dcfc-4734-846e-1ab2357c887a,,infra.decharge,202,,,,Geometrie source absente.,,,,,DECHARGE,,WAIT_SOURCE_FIX,2,PENDING,Geometrie source absente.
e60088e9-cf94-4e41-ae65-a5390866b4b8,ff236ba1-ebb1-4722-bd52-edb0ce2e1e20,,infra.decharge,203,,,,Geometrie source absente.,néant,,,,DECHARGE,,WAIT_SOURCE_FIX,2,PENDING,Geometrie source absente.
e60088e9-cf94-4e41-ae65-a5390866b4b8,a452c6e7-b0b3-4a1a-97bf-2d639bebfb95,,infra.decharge,204,,,,Geometrie source absente.,néant,,,,DECHARGE,,WAIT_SOURCE_FIX,2,PENDING,Geometrie source absente.
e60088e9-cf94-4e41-ae65-a5390866b4b8,338649ad-74f3-4267-a678-26590c20618a,,infra.decharge,205,,,,Geometrie source absente.,néant,,,,DECHARGE,,WAIT_SOURCE_FIX,2,PENDING,Geometrie source absente.
e60088e9-cf94-4e41-ae65-a5390866b4b8,dea962da-db24-40bb-9c29-de41a693c960,,infra.decharge,206,,,,Geometrie source absente.,néant,,,,DECHARGE,,WAIT_SOURCE_FIX,2,PENDING,Geometrie source absente.
e60088e9-cf94-4e41-ae65-a5390866b4b8,a4760666-cc2b-4d98-9926-acd5d0e2fd6a,,infra.decharge,207,,,,Geometrie source absente.,néant,,,,DECHARGE,,WAIT_SOURCE_FIX,2,PENDING,Geometrie source absente.
e60088e9-cf94-4e41-ae65-a5390866b4b8,c6f3d9bb-bb26-4c95-9d8c-7d776b4e4fc7,,infra.decharge,21,,,,Geometrie source absente.,,,,,DECHARGE,,WAIT_SOURCE_FIX,2,PENDING,Geometrie source absente.
e60088e9-cf94-4e41-ae65-a5390866b4b8,4547fff6-6b33-4b52-80ef-9df8540b26a9,,infra.decharge,214,,,,Geometrie source absente.,néant,,,,DECHARGE,,WAIT_SOURCE_FIX,2,PENDING,Geometrie source absente.
e60088e9-cf94-4e41-ae65-a5390866b4b8,f6e9f6c1-175c-45f2-9649-5cb667c37e69,,infra.decharge,215,,,,Geometrie source absente.,néant,,,,DECHARGE,,WAIT_SOURCE_FIX,2,PENDING,Geometrie source absente.
e60088e9-cf94-4e41-ae65-a5390866b4b8,a1eae3b5-86b9-445b-b6ee-4b3d67c3eb95,,infra.decharge,218,,,,Geometrie source absente.,,,,,DECHARGE,,WAIT_SOURCE_FIX,2,PENDING,Geometrie source absente.
e60088e9-cf94-4e41-ae65-a5390866b4b8,64d2cde1-204c-49bf-86b6-e663275459e8,,infra.decharge,221,,,,Geometrie source absente.,,,,,DECHARGE,,WAIT_SOURCE_FIX,2,PENDING,Geometrie source absente.
e60088e9-cf94-4e41-ae65-a5390866b4b8,1a579105-128e-43ca-a480-ec6f6349618f,,infra.decharge,222,,,,Geometrie source absente.,,,,,DECHARGE,,WAIT_SOURCE_FIX,2,PENDING,Geometrie source absente.
e60088e9-cf94-4e41-ae65-a5390866b4b8,fafefbfb-e441-439d-88d9-6ae528697cc0,,infra.decharge,223,,,,Geometrie source absente.,,,,,DECHARGE,,WAIT_SOURCE_FIX,2,PENDING,Geometrie source absente.
e60088e9-cf94-4e41-ae65-a5390866b4b8,4c6670e0-58b9-4c6f-8ed1-77bc343a74a1,,infra.decharge,225,,,,Geometrie source absente.,,,,,DECHARGE,,WAIT_SOURCE_FIX,2,PENDING,Geometrie source absente.
e60088e9-cf94-4e41-ae65-a5390866b4b8,863f8ba7-ea14-4a4a-9ea7-bd12934bf5d9,,infra.decharge,227,,,,Geometrie source absente.,,,,,DECHARGE,,WAIT_SOURCE_FIX,2,PENDING,Geometrie source absente.
e60088e9-cf94-4e41-ae65-a5390866b4b8,638ab772-1335-4d00-a681-955288604d52,,infra.decharge,29,,,,Geometrie source absente.,bou ahmed,,,,DECHARGE,,WAIT_SOURCE_FIX,2,PENDING,Geometrie source absente.
e60088e9-cf94-4e41-ae65-a5390866b4b8,9422cf3c-a0a6-4f4a-bcc3-38e600e02bf0,,infra.decharge,4,,,,Geometrie source absente.,,,,,DECHARGE,,WAIT_SOURCE_FIX,2,PENDING,Geometrie source absente.
