run_id,review_id,candidate_id,source_layer,source_id,master_site_id,distance_m,score,conflict_type,source_name,master_site_name,commune_source,commune_master,source_type_source,source_type_master,recommended_decision,review_priority,review_status,reason
e60088e9-cf94-4e41-ae65-a5390866b4b8,84c313ca-8fde-4fa3-ac39-ff89fb3913c6,d35e7491-0859-4607-98fd-7ed6ec2f8126,infra.step,18,e0964245-e6b2-4ce7-9231-bd6891073e9f,0.0,0.5550,DUPLICATE_EXACT,,IFR_PDOM1,,032718103,STEP,infra.step,MANUAL_REVIEW_REQUIRED,1,PENDING,distance=0.00m; nom=0.00; commune=0.00; priorite=3
e60088e9-cf94-4e41-ae65-a5390866b4b8,4edfc14d-86c7-4105-88f2-b23c018307df,e96fd3b6-40aa-4849-9ebd-46fc6310814b,infra.step,17,fa626892-4c4e-49eb-95e1-45135e8ab252,0.0,0.5550,DUPLICATE_EXACT,,AZR_PDOM1,,032710309,STEP,infra.step,MANUAL_REVIEW_REQUIRED,1,PENDING,distance=0.00m; nom=0.00; commune=0.00; priorite=3
e60088e9-cf94-4e41-ae65-a5390866b4b8,2c5f775e-0f09-42b2-8745-604dd7818263,5c065974-fa7b-4f3e-89ab-db745c3155d1,infra.step,12,ec42fe41-cfbf-4c2d-b47c-8d438a0ac471,0.0,0.5550,DUPLICATE_EXACT,,BOL_DOM,,031310101,STEP,infra.step,MANUAL_REVIEW_REQUIRED,1,PENDING,distance=0.00m; nom=0.00; commune=0.00; priorite=3
e60088e9-cf94-4e41-ae65-a5390866b4b8,0eadf7bf-20f7-46eb-86bf-8e36e4da3334,174af697-71eb-43db-9fc5-6e7f2662cd0b,infra.step,19,71e60d40-e1aa-4d1b-bde1-822d84e12abd,0.0,0.5550,DUPLICATE_EXACT,,IMM_DOM,,031310303,STEP,infra.step,MANUAL_REVIEW_REQUIRED,1,PENDING,distance=0.00m; nom=0.00; commune=0.00; priorite=3
e60088e9-cf94-4e41-ae65-a5390866b4b8,99f782c6-f7dc-46ae-9621-94856db63090,d79faf04-75c4-4f77-8887-a40ce5de8615,infra.step,5,1e5cc158-3b4b-4bbd-8885-5fbf9db3d2a8,0.0,0.5550,DUPLICATE_EXACT,,ASL_DOM,,034510503,STEP,infra.step,MANUAL_REVIEW_REQUIRED,1,PENDING,distance=0.00m; nom=0.00; commune=0.00; priorite=3
e60088e9-cf94-4e41-ae65-a5390866b4b8,945092c6-4253-48da-bbfb-1323fdf04e69,a5d643d5-0848-44c9-9d4d-7515a9a2bdce,infra.step,31,0a85e414-ae50-4e03-8575-ab5d22d3e68c,0.0,0.5550,DUPLICATE_EXACT,,DAG_DOM1,,044811105,STEP,infra.step,MANUAL_REVIEW_REQUIRED,1,PENDING,distance=0.00m; nom=0.00; commune=0.00; priorite=3
e60088e9-cf94-4e41-ae65-a5390866b4b8,64d48554-7b03-40be-a1ad-c652e93b66a4,91525f2d-7e6e-4867-a902-ee73e2dcbbd5,infra.step,34,450b0e3a-c06d-4763-b553-e350399c2365,0.0,0.5550,DUPLICATE_EXACT,,TNT-PDS,,035310105,STEP,infra.step,MANUAL_REVIEW_REQUIRED,1,PENDING,distance=0.00m; nom=0.00; commune=0.00; priorite=3
e60088e9-cf94-4e41-ae65-a5390866b4b8,7acc9a17-ebcf-41da-8444-42314a1ffaa0,e758f9a2-da55-4810-8ce9-46ac4626000e,infra.step,40,790e10e3-1fb1-4e1f-8f3f-721d819fe00d,0.0,0.5550,DUPLICATE_EXACT,,035310701,,035310701,STEP,infra.step,MANUAL_REVIEW_REQUIRED,1,PENDING,distance=0.00m; nom=0.00; commune=0.00; priorite=3
e60088e9-cf94-4e41-ae65-a5390866b4b8,c2105a49-692f-4d90-be30-4c41a5535785,af96b25a-3fd2-4822-8755-73426c377106,infra.step,35,175560e2-b203-479e-924d-5c680db032f7,0.0,0.5550,DUPLICATE_EXACT,, GFS-PDS,,035310101,STEP,infra.step,MANUAL_REVIEW_REQUIRED,1,PENDING,distance=0.00m; nom=0.00; commune=0.00; priorite=3
e60088e9-cf94-4e41-ae65-a5390866b4b8,9b4e01ff-f27a-4f1b-a445-a47f5e3c482c,1a6c69b6-b86b-4c54-89fa-36d9564547ad,infra.step,21,00e73532-dbce-42f9-921f-375decfdac3e,0.0,0.5550,DUPLICATE_EXACT,,OA_DOM,,035610105,STEP,infra.step,MANUAL_REVIEW_REQUIRED,1,PENDING,distance=0.00m; nom=0.00; commune=0.00; priorite=3
e60088e9-cf94-4e41-ae65-a5390866b4b8,8396809d-d411-4789-949e-cb3fb2562abd,d5fa77ba-78d7-404d-b863-db669a24d0db,infra.step,22,5e82d3ac-d79b-47ec-9f69-7702661951af,0.0,0.5550,DUPLICATE_EXACT,,T_DOM,,035610901,STEP,infra.step,MANUAL_REVIEW_REQUIRED,1,PENDING,distance=0.00m; nom=0.00; commune=0.00; priorite=3
