run_id,review_id,candidate_id,source_layer,source_id,master_site_id,distance_m,score,conflict_type,source_name,master_site_name,commune_source,commune_master,source_type_source,source_type_master,recommended_decision,review_priority,review_status,reason
e60088e9-cf94-4e41-ae65-a5390866b4b8,4132b8d7-d271-4e2e-a273-86c5a8de5143,a92b98a4-4f4b-4824-b42b-673242cde5e0,infra.huilerie,143,f62a5fd6-5576-438b-b999-a13a98c47efc,0.0,0.7400,DUPLICATE_EXACT,Huilerie ZENASSENI,Huilerie ZENASSENI,,Rhouazi,HUILERIE,infra.huilerie_inventaire_pollution,MANUAL_REVIEW_REQUIRED,1,PENDING,distance=0.00m; nom=1.00; commune=0.00; priorite=4
e60088e9-cf94-4e41-ae65-a5390866b4b8,e3d9b403-0e05-4dd0-ba70-d07c38f3e885,74677b11-1d2a-44f3-9e58-29245e8257c4,infra.huilerie,144,b1fc7dd4-d363-490d-a0ed-c8e1bb7e6769,0.0,0.7400,DUPLICATE_EXACT,Huilerie OR vert d'Olives,Huilerie OR vert d'Olives,,Rhouazi,HUILERIE,infra.huilerie_inventaire_pollution,MANUAL_REVIEW_REQUIRED,1,PENDING,distance=0.00m; nom=1.00; commune=0.00; priorite=4
e60088e9-cf94-4e41-ae65-a5390866b4b8,b7e4e38d-1e22-4939-9b9d-58c2b07f4294,04cb2024-6ff1-41c4-9aef-b45552a586fc,infra.huilerie,145,23314434-6a12-4002-88df-c0d75846f6db,0.0,0.7400,DUPLICATE_EXACT,Huilerie La Nouvelle Huilerie du Nord,Huilerie La Nouvelle Huilerie du Nord,,Rhouazi,HUILERIE,infra.huilerie_inventaire_pollution,MANUAL_REVIEW_REQUIRED,1,PENDING,distance=0.00m; nom=1.00; commune=0.00; priorite=4
e60088e9-cf94-4e41-ae65-a5390866b4b8,d4fd8072-b5fc-4f92-b582-82693128ffae,8cd337fd-c61d-4248-bbab-bbc45c9ee21b,infra.huilerie,331,57c80642-d693-4c21-aae6-6854c8a65648,0.0,0.7400,DUPLICATE_EXACT,Sté huile d'olive,Sté huile d'olive,,Brarha,HUILERIE,infra.huilerie_inventaire_pollution,MANUAL_REVIEW_REQUIRED,1,PENDING,distance=0.00m; nom=1.00; commune=0.00; priorite=4
e60088e9-cf94-4e41-ae65-a5390866b4b8,2f6b4ab2-7c52-45b1-8cc3-a0f10db83e18,899be6d3-2d76-497a-b143-8cc0c40d1a38,infra.huilerie,342,a30e7cc4-c49c-4dd7-9ed8-95ab6fe79b05,0.0,0.7400,DUPLICATE_EXACT,Zolati,Zolati,,Oued amlil,HUILERIE,infra.huilerie_inventaire_pollution,MANUAL_REVIEW_REQUIRED,1,PENDING,distance=0.00m; nom=1.00; commune=0.00; priorite=4
e60088e9-cf94-4e41-ae65-a5390866b4b8,36217e66-dbb6-4a73-86d6-1a1a58a45731,a4b4bc50-d065-4088-8d58-50cc65b0a243,infra.huilerie,343,9fb547f2-a36d-4111-a78d-b71ad5bd36a7,0.0,0.7400,DUPLICATE_EXACT,Zarik,Zarik,,Oued amlil,HUILERIE,infra.huilerie_inventaire_pollution,MANUAL_REVIEW_REQUIRED,1,PENDING,distance=0.00m; nom=1.00; commune=0.00; priorite=4
e60088e9-cf94-4e41-ae65-a5390866b4b8,40f89a84-1718-47b4-b101-6f22863e4ca2,6df64e70-728c-4bed-9869-d8486a81a8f5,infra.huilerie,344,afe01b28-0f77-4940-bf9e-df1259a86adb,0.0,0.7400,DUPLICATE_EXACT,Aklla,Aklla,,Oued amlil,HUILERIE,infra.huilerie_inventaire_pollution,MANUAL_REVIEW_REQUIRED,1,PENDING,distance=0.00m; nom=1.00; commune=0.00; priorite=4
e60088e9-cf94-4e41-ae65-a5390866b4b8,fdd54dc9-63f8-47ef-9582-49032e460327,de1450aa-7ce6-4d23-b3c7-67817d1891ba,infra.huilerie,345,9e48bc45-70eb-430c-af9e-670255b6abae,0.0,0.7400,DUPLICATE_EXACT,Hat hat,Hat hat,,Oued amlil,HUILERIE,infra.huilerie_inventaire_pollution,MANUAL_REVIEW_REQUIRED,1,PENDING,distance=0.00m; nom=1.00; commune=0.00; priorite=4
e60088e9-cf94-4e41-ae65-a5390866b4b8,bb70c2d0-d15d-4eff-8dfa-193b3cedbda6,fd162e3e-3e13-46d0-acdd-a0860463d16a,infra.huilerie,306,d0c9e274-305d-4902-ab67-98390e094844,0.0,0.7400,DUPLICATE_EXACT,Huilerie Ouled Brih,Huilerie Ouled Brih,,Meknassa achrqia,HUILERIE,infra.huilerie_inventaire_pollution,MANUAL_REVIEW_REQUIRED,1,PENDING,distance=0.00m; nom=1.00; commune=0.00; priorite=4
e60088e9-cf94-4e41-ae65-a5390866b4b8,2bc0e4db-6539-4271-9b70-b322e5462a4d,e2ca4035-1230-4ebe-87f5-9295a0ccb160,infra.huilerie,309,ee37a1eb-40c7-4c1a-97ce-f7ec286a366d,0.0,0.7400,DUPLICATE_EXACT,Mimouna,Mimouna,,Meknassa alcharqia,HUILERIE,infra.huilerie_inventaire_pollution,MANUAL_REVIEW_REQUIRED,1,PENDING,distance=0.00m; nom=1.00; commune=0.00; priorite=4
e60088e9-cf94-4e41-ae65-a5390866b4b8,9d51b435-8bd1-4904-b9b6-178741a2364a,2986acb6-c4b1-4221-8712-05471c84a33f,infra.huilerie,334,2fa82045-05c6-428b-9d94-be48077e8f07,0.0,0.7400,DUPLICATE_EXACT,Ghiata algharbia,Ghiata algharbia,,Ghaita elgharbia,HUILERIE,infra.huilerie_inventaire_pollution,MANUAL_REVIEW_REQUIRED,1,PENDING,distance=0.00m; nom=1.00; commune=0.00; priorite=4
e60088e9-cf94-4e41-ae65-a5390866b4b8,15d8c2cf-afbe-498e-88e6-a70972d860d2,5ee6b996-8c64-4555-8880-d2fee3da646a,infra.huilerie,335,253110fb-ed14-4ee9-9a9b-e79e0a0be91a,0.0,0.7400,DUPLICATE_EXACT,Chmof,Chmof,,Ghaita elgharbia,HUILERIE,infra.huilerie_inventaire_pollution,MANUAL_REVIEW_REQUIRED,1,PENDING,distance=0.00m; nom=1.00; commune=0.00; priorite=4
e60088e9-cf94-4e41-ae65-a5390866b4b8,f1cda0a7-495b-47f4-a629-ba4e28c2a123,98f978b7-7fe3-46ec-9320-a1816421bb31,infra.huilerie,358,f7430226-42c5-475c-b013-efa96f6d99b0,0.0,0.7400,DUPLICATE_EXACT,Huilerie issidouni,Huilerie issidouni,,Ghiata al gharbia,HUILERIE,infra.huilerie_inventaire_pollution,MANUAL_REVIEW_REQUIRED,1,PENDING,distance=0.00m; nom=1.00; commune=0.00; priorite=4
e60088e9-cf94-4e41-ae65-a5390866b4b8,3bf1aadf-dd27-452a-8cd3-4c8052716377,6b328332-4b7d-4f12-b2b5-a2ba6c7041f2,infra.huilerie,359,7f9644e5-843b-4053-8314-df52c0f3b3e1,0.0,0.7400,DUPLICATE_EXACT,Huilerie el gandoui,Huilerie el gandoui,,Ghiata al gharbia,HUILERIE,infra.huilerie_inventaire_pollution,MANUAL_REVIEW_REQUIRED,1,PENDING,distance=0.00m; nom=1.00; commune=0.00; priorite=4
