base,schema,table,type_table,mode_detection,parametre_observe,parametre_normalise_auto,colonne_parametre,colonne_valeur,unite_detectee,volume_lignes,volume_valeurs_non_nulles,nb_valeurs_nulles,nb_valeurs_negatives,nb_valeurs_non_numeriques,min_valeur,max_valeur,premiere_date,derniere_date,exemple_valeur_1,exemple_valeur_2,exemple_valeur_3,source_origine,commentaire_auto
abh_sad,infra,step,pollution,colonne_large,niveau_epuration,niveau epuration,,niveau_epuration,à confirmer,41,25,16,0,25,,,,,Prétraitement ,"Prétraitement, Primaire","Prétraitement, Primaire, Secandaire, Tertiaire",db,
abh_sad,infra,step,pollution,colonne_large,vol_eaux_us_trait_m3_an,vol eaux us trait m3 an,,vol_eaux_us_trait_m3_an,à confirmer,41,27,14,0,0,2052,47450000,,,101822,1024977,127750,db,
abh_sad,infra,step,pollution,colonne_large,reutilisation_eaux_us_epur,reutilisation eaux us epur,,reutilisation_eaux_us_epur,à confirmer,41,21,20,0,21,,,,,Non,Oui,,db,
abh_sad,infra,step_inventaire_pollution,pollution,colonne_large,niveau_epuration,niveau epuration,,niveau_epuration,à confirmer,49,35,14,0,35,,,09/08/2024,9/4/2024,-,Prétraitement,Prétraitement  Primaire Secandaire Tertiaire,db,
abh_sad,infra,step_inventaire_pollution,pollution,colonne_large,volume_eau_raw,volume eau raw,,volume_eau_raw,à confirmer,49,33,16,0,7,216.000,19673500,09/08/2024,9/4/2024,-,101822,1024977,db,
abh_sad,infra,step_inventaire_pollution,pollution,colonne_large,dbo5_filtre_raw,dbo5 filtre raw,,dbo5_filtre_raw,à confirmer,49,28,21,0,12,25.9,98,09/08/2024,9/4/2024,-,25.9,31  (mg/l),db,
abh_sad,infra,step_inventaire_pollution,pollution,colonne_large,dco_filtre_raw,dco filtre raw,,dco_filtre_raw,à confirmer,49,28,21,0,12,54,213,09/08/2024,9/4/2024,-,119,144 mgO2/l,db,
abh_sad,infra,step_inventaire_pollution,pollution,colonne_large,mes_brut_raw,mes brut raw,,mes_brut_raw,à confirmer,49,27,22,0,12,6.3,98,09/08/2024,9/4/2024,-,134mg/l,17.8,db,
abh_sad,infra,step_inventaire_pollution,pollution,colonne_large,reutilisation_raw,reutilisation raw,,reutilisation_raw,à confirmer,49,22,27,0,22,,,09/08/2024,9/4/2024,-,non,Non,db,
abh_sad,infra,stm,pollution,colonne_large,coord_x,coord x,,coord_x,à confirmer,18,18,0,0,0,474570,580571,2026-04-03 12:03:22.143412+00,2026-04-03 12:03:22.143412+00,474570,477000,480668,db,
abh_sad,infra,stm,pollution,colonne_large,coord_y,coord y,,coord_y,à confirmer,18,18,0,0,0,330820,470600,2026-04-03 12:03:22.143412+00,2026-04-03 12:03:22.143412+00,330820,338000,363700,db,
abh_sad,metadata,api_view_catalog,référentiel,colonne_large,object_type,object type,,object_type,à confirmer,57,57,0,0,57,,,2026-04-06 08:46:01.636627+00,2026-04-06 14:00:31.282515+00,MATERIALIZED VIEW,materialized_view,view,db,
abh_sad,metadata,api_view_catalog,référentiel,colonne_large,grain,grain,,grain,à confirmer,57,57,0,0,57,,,2026-04-06 08:46:01.636627+00,2026-04-06 14:00:31.282515+00,barrage x jour,entité,entite_geographique,db,
abh_sad,metadata,api_view_catalog,référentiel,colonne_large,description_metier,description metier,,description_metier,à confirmer,57,57,0,0,57,,,2026-04-06 08:46:01.636627+00,2026-04-06 14:00:31.282515+00,Agrégat journalier SWAT en format long pour dashboard.,Agrégat journalier WASP en format long pour dashboard.,"Couche cartographique consolidée multi-thèmes (admin, geo, infra).",db,
abh_sad,metadata,api_view_column_catalog,référentiel,colonne_large,column_name,column name,,column_name,à confirmer,1101,1101,0,0,1101,,,2026-04-06 08:46:01.636627+00,2026-04-06 14:06:30.952452+00,abh,abreviation_raw,actif,db,
abh_sad,metadata,catalogue_type_mesure,référentiel,colonne_parametre,Ca,ca,parametre_qualite,type_mesure,mg/L,1,1,0,0,1,,,,,qualite,,,db,
