review_id,review_bucket,source_layer,source_id,source_object_name,source_type,candidate_master_site_id,candidate_site_name,distance_m,match_score,issue_type,suggested_action,reviewer_decision,reviewer_comment,allowed_decisions
13395266-e70e-48d9-b01b-6c663964dec2,ORPHAN_REVIEW,infra.huilerie,329,Huile taza,HUILERIE,,,,,MISSING_MAPPING,WAIT_SOURCE_FIX,,,WAIT_SOURCE_FIX|INVALID_SOURCE_DATA|CREATE_NEW_SITE|NOT_USABLE|REVIEW_LATER
4d40d699-28f9-4248-a245-dd7aca732323,ORPHAN_REVIEW,infra.huilerie,332,Huile bouchfaa,HUILERIE,,,,,MISSING_MAPPING,WAIT_SOURCE_FIX,,,WAIT_SOURCE_FIX|INVALID_SOURCE_DATA|CREATE_NEW_SITE|NOT_USABLE|REVIEW_LATER
de931fa8-d480-4c0c-b068-de6bf3601cbf,ORPHAN_REVIEW,infra.huilerie,347,Najat,HUILERIE,,,,,MISSING_MAPPING,WAIT_SOURCE_FIX,,,WAIT_SOURCE_FIX|INVALID_SOURCE_DATA|CREATE_NEW_SITE|NOT_USABLE|REVIEW_LATER
2cacc41b-efe6-4fb1-b384-53d77ae598c5,ORPHAN_REVIEW,infra.huilerie,348,Sté oumatan,HUILERIE,,,,,MISSING_MAPPING,WAIT_SOURCE_FIX,,,WAIT_SOURCE_FIX|INVALID_SOURCE_DATA|CREATE_NEW_SITE|NOT_USABLE|REVIEW_LATER
76dd8091-cb75-4a08-9a5e-99181741c40d,ORPHAN_REVIEW,infra.huilerie,427,EVOO FACTORY,HUILERIE,,,,,MISSING_MAPPING,WAIT_SOURCE_FIX,,,WAIT_SOURCE_FIX|INVALID_SOURCE_DATA|CREATE_NEW_SITE|NOT_USABLE|REVIEW_LATER
2e366ad3-8ee9-4aea-9266-0645952823a4,ORPHAN_REVIEW,infra.huilerie,428,ALBADIYA OLIVE OIL SARL AU,HUILERIE,,,,,MISSING_MAPPING,WAIT_SOURCE_FIX,,,WAIT_SOURCE_FIX|INVALID_SOURCE_DATA|CREATE_NEW_SITE|NOT_USABLE|REVIEW_LATER
2b2ddfc6-335f-4f21-9c0e-d79f22816934,ORPHAN_REVIEW,infra.huilerie,429,Les huileries de meknes 1,HUILERIE,,,,,MISSING_MAPPING,WAIT_SOURCE_FIX,,,WAIT_SOURCE_FIX|INVALID_SOURCE_DATA|CREATE_NEW_SITE|NOT_USABLE|REVIEW_LATER
5d4b5ef2-073c-4b7e-a59f-1c5cebef4217,ORPHAN_REVIEW,infra.huilerie,458,Non-connue 7,HUILERIE,,,,,MISSING_MAPPING,WAIT_SOURCE_FIX,,,WAIT_SOURCE_FIX|INVALID_SOURCE_DATA|CREATE_NEW_SITE|NOT_USABLE|REVIEW_LATER
b053f77a-b662-4e3a-ac48-935f01e3d981,ORPHAN_REVIEW,infra.huilerie,485,Huilerie IDRISSIA,HUILERIE,,,,,MISSING_MAPPING,WAIT_SOURCE_FIX,,,WAIT_SOURCE_FIX|INVALID_SOURCE_DATA|CREATE_NEW_SITE|NOT_USABLE|REVIEW_LATER
092c413b-f1ab-4322-ade6-c4d359b89bc2,ORPHAN_REVIEW,infra.huilerie,557,ZYOUT MEKNESS,HUILERIE,,,,,MISSING_MAPPING,WAIT_SOURCE_FIX,,,WAIT_SOURCE_FIX|INVALID_SOURCE_DATA|CREATE_NEW_SITE|NOT_USABLE|REVIEW_LATER
0b0f5be3-75ba-41c3-9aac-0060f36eb3e8,ORPHAN_REVIEW,infra.huilerie,610,Conserves bio,HUILERIE,,,,,MISSING_MAPPING,WAIT_SOURCE_FIX,,,WAIT_SOURCE_FIX|INVALID_SOURCE_DATA|CREATE_NEW_SITE|NOT_USABLE|REVIEW_LATER
9d84ab17-a766-43c8-8612-82c0ae3b0ea9,ORPHAN_REVIEW,infra.huilerie,611,Les conserves de meknes (aicha),HUILERIE,,,,,MISSING_MAPPING,WAIT_SOURCE_FIX,,,WAIT_SOURCE_FIX|INVALID_SOURCE_DATA|CREATE_NEW_SITE|NOT_USABLE|REVIEW_LATER
b4bbec2e-9d8d-4522-a036-87fcb18419c8,ORPHAN_REVIEW,infra.huilerie,612,Les coserves oualili,HUILERIE,,,,,MISSING_MAPPING,WAIT_SOURCE_FIX,,,WAIT_SOURCE_FIX|INVALID_SOURCE_DATA|CREATE_NEW_SITE|NOT_USABLE|REVIEW_LATER
e10c6127-12ed-4a78-90f3-2ce9b908e24f,ORPHAN_REVIEW,infra.huilerie,82,Huilerie Doukali,HUILERIE,,,,,MISSING_MAPPING,WAIT_SOURCE_FIX,,,WAIT_SOURCE_FIX|INVALID_SOURCE_DATA|CREATE_NEW_SITE|NOT_USABLE|REVIEW_LATER
9edff55e-a7f2-4c4f-972b-9e939c15befe,ORPHAN_REVIEW,infra.huilerie,87,Huilerie CHAIBI,HUILERIE,,,,,MISSING_MAPPING,WAIT_SOURCE_FIX,,,WAIT_SOURCE_FIX|INVALID_SOURCE_DATA|CREATE_NEW_SITE|NOT_USABLE|REVIEW_LATER
95ca5c18-8607-4ef1-b1cc-dd7787c4f7d1,ORPHAN_REVIEW,infra.huilerie,90,Huilerie IHYHAA,HUILERIE,,,,,MISSING_MAPPING,WAIT_SOURCE_FIX,,,WAIT_SOURCE_FIX|INVALID_SOURCE_DATA|CREATE_NEW_SITE|NOT_USABLE|REVIEW_LATER
9847fcfd-6605-44df-80b3-5bd643de331a,ORPHAN_REVIEW,infra.huilerie_inventaire_pollution,3ee1833e-4611-425e-82e4-558231a78bdf,Sté boulmakol,HUILERIE,,,,,MISSING_MAPPING,WAIT_SOURCE_FIX,,,WAIT_SOURCE_FIX|INVALID_SOURCE_DATA|CREATE_NEW_SITE|NOT_USABLE|REVIEW_LATER
8c544a50-5592-492a-ba3f-4bc184346ed7,ORPHAN_REVIEW,infra.huilerie_inventaire_pollution,4143059d-4ad8-418b-bd22-d82174f26e45,Societe Hajjy Invest,HUILERIE,,,,,MISSING_MAPPING,WAIT_SOURCE_FIX,,,WAIT_SOURCE_FIX|INVALID_SOURCE_DATA|CREATE_NEW_SITE|NOT_USABLE|REVIEW_LATER
9bc91fca-619a-40ee-bc67-91b76a8d670c,ORPHAN_REVIEW,infra.huilerie_inventaire_pollution,4bf6a654-fff4-4538-b8fd-5af64004b5aa,Huilerie CHAIBI,HUILERIE,,,,,MISSING_MAPPING,WAIT_SOURCE_FIX,,,WAIT_SOURCE_FIX|INVALID_SOURCE_DATA|CREATE_NEW_SITE|NOT_USABLE|REVIEW_LATER
d67f70a6-47e4-40ee-9866-5970930cc29e,ORPHAN_REVIEW,infra.huilerie_inventaire_pollution,5232a595-5fbb-4993-b058-cfd5d954b3a2,Huile taza,HUILERIE,,,,,MISSING_MAPPING,WAIT_SOURCE_FIX,,,WAIT_SOURCE_FIX|INVALID_SOURCE_DATA|CREATE_NEW_SITE|NOT_USABLE|REVIEW_LATER
6a61b4c5-919d-4826-bb47-85f3f4675247,ORPHAN_REVIEW,infra.huilerie_inventaire_pollution,73607441-f39a-4bf6-a5af-af7b19fa0b02,Huilerie Tamidet,HUILERIE,,,,,MISSING_MAPPING,WAIT_SOURCE_FIX,,,WAIT_SOURCE_FIX|INVALID_SOURCE_DATA|CREATE_NEW_SITE|NOT_USABLE|REVIEW_LATER
c9ccfe66-5132-4d10-bdf5-5782af4a3fb2,ORPHAN_REVIEW,infra.huilerie_inventaire_pollution,80bb765f-d3a9-4fe5-8322-071356943836,Olivier El Hmaidii,HUILERIE,,,,,MISSING_MAPPING,WAIT_SOURCE_FIX,,,WAIT_SOURCE_FIX|INVALID_SOURCE_DATA|CREATE_NEW_SITE|NOT_USABLE|REVIEW_LATER
7ed5e587-2834-4130-a6e6-501f420bd073,ORPHAN_REVIEW,infra.huilerie_inventaire_pollution,88d988b5-bc19-4a19-838e-aab54ada5555,Huilerie Serraf Ikhouan,HUILERIE,,,,,MISSING_MAPPING,WAIT_SOURCE_FIX,,,WAIT_SOURCE_FIX|INVALID_SOURCE_DATA|CREATE_NEW_SITE|NOT_USABLE|REVIEW_LATER
2b8f3e22-6604-4149-826b-244c9beac815,ORPHAN_REVIEW,infra.huilerie_inventaire_pollution,8a735aab-52b1-43c2-9ae8-04359e0df138,Najat,HUILERIE,,,,,MISSING_MAPPING,WAIT_SOURCE_FIX,,,WAIT_SOURCE_FIX|INVALID_SOURCE_DATA|CREATE_NEW_SITE|NOT_USABLE|REVIEW_LATER
214a93ad-5966-41f6-96f0-4442ffcc2c71,ORPHAN_REVIEW,infra.huilerie_inventaire_pollution,8e0de048-4d65-4c79-818b-31b01696a92e,Huilerie Aromane,HUILERIE,,,,,MISSING_MAPPING,WAIT_SOURCE_FIX,,,WAIT_SOURCE_FIX|INVALID_SOURCE_DATA|CREATE_NEW_SITE|NOT_USABLE|REVIEW_LATER
48764998-faa9-47d9-ba65-72c1fb299bab,ORPHAN_REVIEW,infra.huilerie_inventaire_pollution,8f8ae2fb-0414-48ba-81f2-e97e45205bd4,Huilerie Quassemy Fréres,HUILERIE,,,,,MISSING_MAPPING,WAIT_SOURCE_FIX,,,WAIT_SOURCE_FIX|INVALID_SOURCE_DATA|CREATE_NEW_SITE|NOT_USABLE|REVIEW_LATER
f6814483-a5ab-4a21-976f-036fe076d36b,ORPHAN_REVIEW,infra.huilerie_inventaire_pollution,a2478ab2-0ed4-41c8-a76a-66b785dd7247,Société Barakat allah,HUILERIE,,,,,MISSING_MAPPING,WAIT_SOURCE_FIX,,,WAIT_SOURCE_FIX|INVALID_SOURCE_DATA|CREATE_NEW_SITE|NOT_USABLE|REVIEW_LATER
b519b0e1-9c5e-4999-a664-dd1d4e4467cc,ORPHAN_REVIEW,infra.huilerie_inventaire_pollution,a394a40d-c29a-4f74-9365-98fe3ad509b6,Barada fréro,HUILERIE,,,,,MISSING_MAPPING,WAIT_SOURCE_FIX,,,WAIT_SOURCE_FIX|INVALID_SOURCE_DATA|CREATE_NEW_SITE|NOT_USABLE|REVIEW_LATER
849144ff-6727-4105-be6c-fee66610d038,ORPHAN_REVIEW,infra.huilerie_inventaire_pollution,bee862d4-e639-46aa-9510-d12768d716b7,Huilerie IHYHAA,HUILERIE,,,,,MISSING_MAPPING,WAIT_SOURCE_FIX,,,WAIT_SOURCE_FIX|INVALID_SOURCE_DATA|CREATE_NEW_SITE|NOT_USABLE|REVIEW_LATER
dc59ef73-a4bb-4f3a-a71d-bcc174dec596,ORPHAN_REVIEW,infra.huilerie_inventaire_pollution,c193b12b-dea4-4bdf-b1cc-12ce2cfff8db,H.SOUK SABT,HUILERIE,,,,,MISSING_MAPPING,WAIT_SOURCE_FIX,,,WAIT_SOURCE_FIX|INVALID_SOURCE_DATA|CREATE_NEW_SITE|NOT_USABLE|REVIEW_LATER
69f52103-f95b-4fc8-abe3-12a21549e895,ORPHAN_REVIEW,infra.huilerie_inventaire_pollution,cf2c8e07-4ebf-4fa5-95b8-8761f3b90d8c,Huile bouchfaa,HUILERIE,,,,,MISSING_MAPPING,WAIT_SOURCE_FIX,,,WAIT_SOURCE_FIX|INVALID_SOURCE_DATA|CREATE_NEW_SITE|NOT_USABLE|REVIEW_LATER
7aceea8c-3cd0-46bb-bb59-4fc4d30e0ea5,ORPHAN_REVIEW,infra.huilerie_inventaire_pollution,d1672de6-95e8-4a18-b4cd-d63555e9c986,Non-connue 7,HUILERIE,,,,,MISSING_MAPPING,WAIT_SOURCE_FIX,,,WAIT_SOURCE_FIX|INVALID_SOURCE_DATA|CREATE_NEW_SITE|NOT_USABLE|REVIEW_LATER
