base,schema,table,type_table,mode_detection,parametre_observe,parametre_normalise_auto,colonne_parametre,colonne_valeur,unite_detectee,volume_lignes,volume_valeurs_non_nulles,nb_valeurs_nulles,nb_valeurs_negatives,nb_valeurs_non_numeriques,min_valeur,max_valeur,premiere_date,derniere_date,exemple_valeur_1,exemple_valeur_2,exemple_valeur_3,source_origine,commentaire_auto,qualite_detection
abh_sad,infra,point_eau,référentiel,colonne_large,profond_tot_m,profond tot m,,profond_tot_m,à confirmer,46,28,18,0,0,5,625,1940-01-01,2024-01-01,10,100,110,db,colonne large métier,moyenne
abh_sad,infra,rejet_domestique,pollution,colonne_large,debit_l_s,debit l s,,debit_l_s,à confirmer,362,207,155,0,0,0,NaN,,,0,0.001,0.003,db,colonne large métier,moyenne
abh_sad,infra,rejet_inventaire_pollution,pollution,colonne_large,debit_l_s,debit l s,,debit_l_s,à confirmer,277,277,0,0,0,0,50,2022-10-22,2024-12-14,0,0.001,0.003,db,colonne large métier,moyenne
abh_sad,infra,step,pollution,colonne_large,vol_eaux_us_trait_m3_an,vol eaux us trait m3 an,,vol_eaux_us_trait_m3_an,à confirmer,41,27,14,0,0,2052,47450000,,,101822,1024977,127750,db,colonne large métier,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,PRECIP,precip,source_value,source_value,à confirmer,5,5,0,0,5,,,2026-04-06 16:10:19.217855+00,2026-04-06 16:10:19.217855+00,PRECIP,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,T_eau,temperature eau,source_value,source_value,à confirmer,4,4,0,0,4,,,2026-04-03 11:40:39.933573+00,2026-04-03 14:40:19.178358+00,T_eau,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,DCO,dco,source_value,source_value,à confirmer,4,4,0,0,4,,,2026-04-03 11:40:39.933573+00,2026-04-03 14:40:19.178358+00,DCO,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,DBO5,dbo5,source_value,source_value,à confirmer,4,4,0,0,4,,,2026-04-03 11:40:39.933573+00,2026-04-03 14:40:19.178358+00,DBO5,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,TH,th,source_value,source_value,à confirmer,3,3,0,0,3,,,2026-04-03 11:40:39.933573+00,2026-04-03 14:40:19.178358+00,TH,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,SF,sf,source_value,source_value,à confirmer,3,3,0,0,3,,,2026-04-03 11:40:39.933573+00,2026-04-03 14:40:19.178358+00,SF,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,DEBIT,debit,source_value,source_value,à confirmer,3,3,0,0,3,,,2026-04-06 15:59:19.117508+00,2026-04-06 15:59:19.117508+00,DEBIT,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,Mn,mn,source_value,source_value,à confirmer,3,3,0,0,3,,,2026-04-03 11:40:39.933573+00,2026-04-03 14:40:19.178358+00,Mn,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,MES,mes,source_value,source_value,à confirmer,3,3,0,0,3,,,2026-04-03 11:40:39.933573+00,2026-04-03 14:40:19.178358+00,MES,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,CF,cf,source_value,source_value,à confirmer,3,3,0,0,3,,,2026-04-03 11:40:39.933573+00,2026-04-03 14:40:19.178358+00,CF,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,CT,ct,source_value,source_value,à confirmer,3,3,0,0,3,,,2026-04-03 11:40:39.933573+00,2026-04-03 14:40:19.178358+00,CT,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,Fe,fe,source_value,source_value,à confirmer,3,3,0,0,3,,,2026-04-03 11:40:39.933573+00,2026-04-03 14:40:19.178358+00,Fe,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,PTD,pt,source_value,source_value,à confirmer,2,2,0,0,2,,,2026-04-03 11:40:39.933573+00,2026-04-03 12:53:08.129765+00,PTD,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,pH,ph,source_value,source_value,à confirmer,2,2,0,0,2,,,2026-04-03 13:03:58.539693+00,2026-04-03 14:40:19.178358+00,pH,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,Ca,ca,source_value,source_value,à confirmer,2,2,0,0,2,,,2026-04-03 11:40:39.933573+00,2026-04-03 12:53:08.129765+00,Ca,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,Mg,mg,source_value,source_value,à confirmer,2,2,0,0,2,,,2026-04-03 11:40:39.933573+00,2026-04-03 12:53:08.129765+00,Mg,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,HCO3-,hco3-,source_value,source_value,à confirmer,2,2,0,0,2,,,2026-04-03 11:40:39.933573+00,2026-04-03 12:53:08.129765+00,HCO3-,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,Azote_tot_kjeldhal,azote tot kjeldhal,source_value,source_value,à confirmer,2,2,0,0,2,,,2026-04-03 11:40:39.933573+00,2026-04-03 12:53:08.129765+00,Azote_tot_kjeldhal,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,IBD,ibd,source_value,source_value,à confirmer,2,2,0,0,2,,,2026-04-03 11:40:39.933573+00,2026-04-03 12:53:08.129765+00,IBD,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,NA,na,source_value,source_value,à confirmer,2,2,0,0,2,,,2026-04-03 11:40:39.933573+00,2026-04-03 12:53:08.129765+00,NA,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,CO3,co3,source_value,source_value,à confirmer,2,2,0,0,2,,,2026-04-03 11:40:39.933573+00,2026-04-03 12:53:08.129765+00,CO3,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,ph,ph,source_value,source_value,à confirmer,2,2,0,0,2,,,2026-04-03 11:40:39.933573+00,2026-04-03 12:53:08.129765+00,ph,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,Turbidite,turbidite,source_value,source_value,à confirmer,2,2,0,0,2,,,2026-04-03 11:40:39.933573+00,2026-04-03 12:53:08.129765+00,Turbidite,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,Couleur,couleur,source_value,source_value,à confirmer,2,2,0,0,2,,,2026-04-03 11:40:39.933573+00,2026-04-03 12:53:08.129765+00,Couleur,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,Disque_secchi,disque secchi,source_value,source_value,à confirmer,2,2,0,0,2,,,2026-04-03 11:40:39.933573+00,2026-04-03 12:53:08.129765+00,Disque_secchi,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,T_air,t air,source_value,source_value,à confirmer,2,2,0,0,2,,,2026-04-03 13:03:58.539693+00,2026-04-03 14:40:19.178358+00,T_air,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,NO3-,no3-,source_value,source_value,à confirmer,2,2,0,0,2,,,2026-04-03 11:40:39.933573+00,2026-04-03 12:53:08.129765+00,NO3-,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,FM,fm,source_value,source_value,à confirmer,2,2,0,0,2,,,2026-04-03 11:40:39.933573+00,2026-04-03 12:53:08.129765+00,FM,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,SO4,so4,source_value,source_value,à confirmer,2,2,0,0,2,,,2026-04-03 11:40:39.933573+00,2026-04-03 12:53:08.129765+00,SO4,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,FeT,fet,source_value,source_value,à confirmer,2,2,0,0,2,,,2026-04-03 11:40:39.933573+00,2026-04-03 12:53:08.129765+00,FeT,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,PO4 3-,po4 3-,source_value,source_value,à confirmer,2,2,0,0,2,,,2026-04-03 11:40:39.933573+00,2026-04-03 12:53:08.129765+00,PO4 3-,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,S2,s2,source_value,source_value,à confirmer,2,2,0,0,2,,,2026-04-03 11:40:39.933573+00,2026-04-03 12:53:08.129765+00,S2,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,RS105,rs105,source_value,source_value,à confirmer,2,2,0,0,2,,,2026-04-03 11:40:39.933573+00,2026-04-03 12:53:08.129765+00,RS105,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,Eh,eh,source_value,source_value,à confirmer,2,2,0,0,2,,,2026-04-03 11:40:39.933573+00,2026-04-03 12:53:08.129765+00,Eh,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,NO2-,no2-,source_value,source_value,à confirmer,2,2,0,0,2,,,2026-04-03 11:40:39.933573+00,2026-04-03 12:53:08.129765+00,NO2-,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,Azote_Total,azote total,source_value,source_value,à confirmer,2,2,0,0,2,,,2026-04-03 11:40:39.933573+00,2026-04-03 12:53:08.129765+00,Azote_Total,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,IBGN,ibgn,source_value,source_value,à confirmer,2,2,0,0,2,,,2026-04-03 11:40:39.933573+00,2026-04-03 12:53:08.129765+00,IBGN,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,Detergent,detergent,source_value,source_value,à confirmer,2,2,0,0,2,,,2026-04-03 11:40:39.933573+00,2026-04-03 12:53:08.129765+00,Detergent,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,TAC,tac,source_value,source_value,à confirmer,2,2,0,0,2,,,2026-04-03 11:40:39.933573+00,2026-04-03 12:53:08.129765+00,TAC,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,DCO_dec2h,dco dec2h,source_value,source_value,à confirmer,2,2,0,0,2,,,2026-04-03 11:40:39.933573+00,2026-04-03 12:53:08.129765+00,DCO_dec2h,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,MO,mo,source_value,source_value,à confirmer,2,2,0,0,2,,,2026-04-03 11:40:39.933573+00,2026-04-03 12:53:08.129765+00,MO,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,F_M_mes,f m mes,source_value,source_value,à confirmer,2,2,0,0,2,,,2026-04-03 11:40:39.933573+00,2026-04-03 12:53:08.129765+00,F_M_mes,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,NH4,nh4,source_value,source_value,à confirmer,2,2,0,0,2,,,2026-04-03 11:40:39.933573+00,2026-04-03 12:53:08.129765+00,NH4,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,sat,sat,source_value,source_value,à confirmer,2,2,0,0,2,,,2026-04-03 11:40:39.933573+00,2026-04-03 12:53:08.129765+00,sat,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,Largeur,largeur,source_value,source_value,à confirmer,2,2,0,0,2,,,2026-04-03 11:40:39.933573+00,2026-04-03 12:53:08.129765+00,Largeur,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,O2_diss,o2 dissous,source_value,source_value,à confirmer,2,2,0,0,2,,,2026-04-03 11:40:39.933573+00,2026-04-03 12:53:08.129765+00,O2_diss,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,Profondeur,profondeur,source_value,source_value,à confirmer,2,2,0,0,2,,,2026-04-03 11:40:39.933573+00,2026-04-03 12:53:08.129765+00,Profondeur,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,PTP,pt,source_value,source_value,à confirmer,2,2,0,0,2,,,2026-04-03 11:40:39.933573+00,2026-04-03 12:53:08.129765+00,PTP,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,Chla,chla,source_value,source_value,à confirmer,2,2,0,0,2,,,2026-04-03 11:40:39.933573+00,2026-04-03 12:53:08.129765+00,Chla,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,K,k,source_value,source_value,à confirmer,2,2,0,0,2,,,2026-04-03 11:40:39.933573+00,2026-04-03 12:53:08.129765+00,K,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,HCT,hct,source_value,source_value,à confirmer,2,2,0,0,2,,,2026-04-03 11:40:39.933573+00,2026-04-03 12:53:08.129765+00,HCT,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,S,s,source_value,source_value,à confirmer,2,2,0,0,2,,,2026-04-03 11:40:39.933573+00,2026-04-03 12:53:08.129765+00,S,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,Cl,cl,source_value,source_value,à confirmer,2,2,0,0,2,,,2026-04-03 11:40:39.933573+00,2026-04-03 12:53:08.129765+00,Cl,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,T_Air,t air,source_value,source_value,à confirmer,2,2,0,0,2,,,2026-04-03 11:40:39.933573+00,2026-04-03 12:53:08.129765+00,T_Air,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,Conductivite,conductivite,source_value,source_value,à confirmer,2,2,0,0,2,,,2026-04-03 11:40:39.933573+00,2026-04-03 12:53:08.129765+00,Conductivite,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,SiO3,sio3,source_value,source_value,à confirmer,2,2,0,0,2,,,2026-04-03 11:40:39.933573+00,2026-04-03 12:53:08.129765+00,SiO3,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,Azote_Org,azote org,source_value,source_value,à confirmer,2,2,0,0,2,,,2026-04-03 11:40:39.933573+00,2026-04-03 12:53:08.129765+00,Azote_Org,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,TA,ta,source_value,source_value,à confirmer,2,2,0,0,2,,,2026-04-03 11:40:39.933573+00,2026-04-03 12:53:08.129765+00,TA,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,Pheopigment,pheopigment,source_value,source_value,à confirmer,2,2,0,0,2,,,2026-04-03 11:40:39.933573+00,2026-04-03 12:53:08.129765+00,Pheopigment,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,PT,pt,source_value,source_value,à confirmer,1,1,0,0,1,,,2026-04-03 15:51:33.488142+00,2026-04-03 15:51:33.488142+00,PT,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,Ag,ag,source_value,source_value,à confirmer,1,1,0,0,1,,,2026-04-03 15:51:33.488142+00,2026-04-03 15:51:33.488142+00,Ag,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,Hg,huiles graisses,source_value,source_value,à confirmer,1,1,0,0,1,,,2026-04-03 15:51:33.488142+00,2026-04-03 15:51:33.488142+00,Hg,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,Turbidité,turbidite,source_value,source_value,à confirmer,1,1,0,0,1,,,2026-04-03 15:51:33.488142+00,2026-04-03 15:51:33.488142+00,Turbidité,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,TEMP_MOY,temp moy,source_value,source_value,à confirmer,1,1,0,0,1,,,2026-04-06 16:10:19.217855+00,2026-04-06 16:10:19.217855+00,TEMP_MOY,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,TEMP_MIN,temp min,source_value,source_value,à confirmer,1,1,0,0,1,,,2026-04-06 16:10:19.217855+00,2026-04-06 16:10:19.217855+00,TEMP_MIN,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,As_,as,source_value,source_value,à confirmer,1,1,0,0,1,,,2026-04-03 15:51:33.488142+00,2026-04-03 15:51:33.488142+00,As_,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,Na_,na,source_value,source_value,à confirmer,1,1,0,0,1,,,2026-04-03 15:51:33.488142+00,2026-04-03 15:51:33.488142+00,Na_,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,Huiles_Gra,huiles gra,source_value,source_value,à confirmer,1,1,0,0,1,,,2026-04-03 15:51:33.488142+00,2026-04-03 15:51:33.488142+00,Huiles_Gra,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,NH4_,nh4,source_value,source_value,à confirmer,1,1,0,0,1,,,2026-04-03 15:51:33.488142+00,2026-04-03 15:51:33.488142+00,NH4_,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,Sr,sr,source_value,source_value,à confirmer,1,1,0,0,1,,,2026-04-03 15:51:33.488142+00,2026-04-03 15:51:33.488142+00,Sr,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,NO2_,no2,source_value,source_value,à confirmer,1,1,0,0,1,,,2026-04-03 15:51:33.488142+00,2026-04-03 15:51:33.488142+00,NO2_,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,Fe2_,fe2,source_value,source_value,à confirmer,1,1,0,0,1,,,2026-04-03 15:51:33.488142+00,2026-04-03 15:51:33.488142+00,Fe2_,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,V,v,source_value,source_value,à confirmer,1,1,0,0,1,,,2026-04-03 15:51:33.488142+00,2026-04-03 15:51:33.488142+00,V,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,NTK,ntk,source_value,source_value,à confirmer,1,1,0,0,1,,,2026-04-03 15:51:33.488142+00,2026-04-03 15:51:33.488142+00,NTK,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,K_,k,source_value,source_value,à confirmer,1,1,0,0,1,,,2026-04-03 15:51:33.488142+00,2026-04-03 15:51:33.488142+00,K_,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,OH,oh,source_value,source_value,à confirmer,1,1,0,0,1,,,2026-04-03 11:40:39.933573+00,2026-04-03 11:40:39.933573+00,OH,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,Pb,pb,source_value,source_value,à confirmer,1,1,0,0,1,,,2026-04-03 15:51:33.488142+00,2026-04-03 15:51:33.488142+00,Pb,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,phenol,phenol,source_value,source_value,à confirmer,1,1,0,0,1,,,2026-04-03 11:40:39.933573+00,2026-04-03 11:40:39.933573+00,phenol,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,Phenol,phenol,source_value,source_value,à confirmer,1,1,0,0,1,,,2026-04-03 13:03:58.539693+00,2026-04-03 13:03:58.539693+00,Phenol,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,Mg__,mg,source_value,source_value,à confirmer,1,1,0,0,1,,,2026-04-03 15:51:33.488142+00,2026-04-03 15:51:33.488142+00,Mg__,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,Phosphore total,phosphore total,source_value,source_value,à confirmer,1,1,0,0,1,,,2026-04-03 13:03:58.539693+00,2026-04-03 13:03:58.539693+00,Phosphore total,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,TEMP_MAX,temp max,source_value,source_value,à confirmer,1,1,0,0,1,,,2026-04-06 16:10:19.217855+00,2026-04-06 16:10:19.217855+00,TEMP_MAX,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,Zn,zn,source_value,source_value,à confirmer,1,1,0,0,1,,,2026-04-03 15:51:33.488142+00,2026-04-03 15:51:33.488142+00,Zn,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,EVAPO,evapo,source_value,source_value,à confirmer,1,1,0,0,1,,,2026-04-06 16:10:19.217855+00,2026-04-06 16:10:19.217855+00,EVAPO,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,Tl,tl,source_value,source_value,à confirmer,1,1,0,0,1,,,2026-04-03 15:51:33.488142+00,2026-04-03 15:51:33.488142+00,Tl,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,SO4__,so4,source_value,source_value,à confirmer,1,1,0,0,1,,,2026-04-03 15:51:33.488142+00,2026-04-03 15:51:33.488142+00,SO4__,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,Ba,ba,source_value,source_value,à confirmer,1,1,0,0,1,,,2026-04-03 15:51:33.488142+00,2026-04-03 15:51:33.488142+00,Ba,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,Al,al,source_value,source_value,à confirmer,1,1,0,0,1,,,2026-04-03 15:51:33.488142+00,2026-04-03 15:51:33.488142+00,Al,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,Ca__,ca,source_value,source_value,à confirmer,1,1,0,0,1,,,2026-04-03 15:51:33.488142+00,2026-04-03 15:51:33.488142+00,Ca__,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,Sn,sn,source_value,source_value,à confirmer,1,1,0,0,1,,,2026-04-03 15:51:33.488142+00,2026-04-03 15:51:33.488142+00,Sn,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,Li,li,source_value,source_value,à confirmer,1,1,0,0,1,,,2026-04-03 15:51:33.488142+00,2026-04-03 15:51:33.488142+00,Li,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,Cd,cd,source_value,source_value,à confirmer,1,1,0,0,1,,,2026-04-03 15:51:33.488142+00,2026-04-03 15:51:33.488142+00,Cd,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,Cu,cu,source_value,source_value,à confirmer,1,1,0,0,1,,,2026-04-03 15:51:33.488142+00,2026-04-03 15:51:33.488142+00,Cu,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,Conduc,conduc,source_value,source_value,à confirmer,1,1,0,0,1,,,2026-04-03 15:51:33.488142+00,2026-04-03 15:51:33.488142+00,Conduc,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,Phénol,phenol,source_value,source_value,à confirmer,1,1,0,0,1,,,2026-04-03 15:51:33.488142+00,2026-04-03 15:51:33.488142+00,Phénol,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,Phosphore_Total,phosphore total,source_value,source_value,à confirmer,1,1,0,0,1,,,2026-04-03 11:40:39.933573+00,2026-04-03 11:40:39.933573+00,Phosphore_Total,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,PO43_,po43,source_value,source_value,à confirmer,1,1,0,0,1,,,2026-04-03 15:51:33.488142+00,2026-04-03 15:51:33.488142+00,PO43_,,,metadata,mapping source paramètre,moyenne
abh_sad,metadata,mapping_parametre_source,metadata,metadata,O2_Diss,o2 dissous,source_value,source_value,à confirmer,1,1,0,0,1,,,2026-04-03 15:51:33.488142+00,2026-04-03 15:51:33.488142+00,O2_Diss,,,metadata,mapping source paramètre,moyenne
