source_schema,source_table,source_column_parametre,source_column_valeur,parametre_source,parametre_source_normalise,parametre_standard_metier,code_parametre_canonique,mapping_status,mapping_confidence,unite_source,unite_source_resolue,unite_standard,statut_unite,conversion_regle,regle_parsing,qa_flags,scope_migration,volume_total,nb_non_numerique,exemples_valeurs,action_migration,commentaire_preparation
staging,raw_mesures_qualite_rivieres,parametre_qualite,val_qual_riv,SF,sf,SF,SF,MAPPED,0.95,g/L,UFC/100 mL,UFC/100 mL,UNIT_ASSUMED,aucune,numeric_decimal_comma + limites_detection + quarantine_non_convertible,INFERIEUR | SUPERIEUR | DECIMAL_COMMA | SCIENTIFIC_NOTATION | NON_NUMERIC_QUARANTINE | UNIT_CONFLICT | UNIT_ASSUMED,MESURE,1879,0,valeur=1100000; date=1988-09-20; point=2817/15 || valeur=7500; date=1988-10-05; point=2496/15 || valeur=1600; date=1988-10-06; point=1236/14,MIGRER_AVEC_FLAG,Unité standard métier appliquée par défaut en l’absence d’unité source fiable.
staging,raw_types_mesures,parametre_qualite,,SF,sf,SF,SF,MAPPED,0.95,g/L,UFC/100 mL,UFC/100 mL,UNIT_ASSUMED,aucune,numeric_decimal_comma + limites_detection + quarantine_non_convertible,INFERIEUR | SUPERIEUR | DECIMAL_COMMA | SCIENTIFIC_NOTATION | NON_NUMERIC_QUARANTINE | UNIT_CONFLICT | UNIT_ASSUMED | REFERENCE_ONLY,REFERENCE,1,0,colonne_valeur_absente,QUARANTAINE,Ligne de référentiel/source sans colonne valeur ; hors lot de migration des mesures.
staging,raw_suivi_qualite_brg_garde_hebdo,parametre_qualite,val_qual_brg_garde_hebdo,SiO2(mg/l),sio2_mg_l,Silice,SIO2,MAPPED,0.95,mg/l,mg/L,mg/L,UNIT_OK,aucune,numeric_decimal_comma + limites_detection + quarantine_non_convertible,INFERIEUR | SUPERIEUR | DECIMAL_COMMA | SCIENTIFIC_NOTATION | NON_NUMERIC_QUARANTINE | UNIT_OK,MESURE,182,0,valeur=0.709; date=2024-11-20; point=n/a || valeur=2.6; date=2024-12-11; point=n/a || valeur=4.48; date=2025-01-08; point=n/a,MIGRER,
staging,raw_mesures_qualite_barrages,parametre_qualite,val_qual_barr,SiO3,sio3,Silicates,SIO3,MAPPED,0.95,mg/L,mg/L,mg/L,UNIT_OK,aucune,numeric_decimal_comma + limites_detection + quarantine_non_convertible,INFERIEUR | SUPERIEUR | DECIMAL_COMMA | SCIENTIFIC_NOTATION | NON_NUMERIC_QUARANTINE | UNIT_OK,MESURE,37,0,valeur=11.97; date=1991-11-22; point=3907/14 || valeur=1.27; date=1991-11-25; point=3323/8 || valeur=23.9; date=1994-10-14; point=3323/8,MIGRER,
staging,raw_mesures_qualite_nappes,parametre_qualite,val_qual_nap,SiO3,sio3,Silicates,SIO3,MAPPED,0.95,mg/L,mg/L,mg/L,UNIT_OK,aucune,numeric_decimal_comma + limites_detection + quarantine_non_convertible,INFERIEUR | SUPERIEUR | DECIMAL_COMMA | SCIENTIFIC_NOTATION | NON_NUMERIC_QUARANTINE | UNIT_OK,MESURE,3,0,valeur=29.2; date=1991-03-27; point=2881/15 || valeur=36.2; date=1991-03-28; point=2043/15 || valeur=16.05; date=1993-08-10; point=897/16,MIGRER,
staging,raw_mesures_qualite_rivieres,parametre_qualite,val_qual_riv,SiO3,sio3,Silicates,SIO3,MAPPED,0.95,mg/L,mg/L,mg/L,UNIT_OK,aucune,numeric_decimal_comma + limites_detection + quarantine_non_convertible,INFERIEUR | SUPERIEUR | DECIMAL_COMMA | SCIENTIFIC_NOTATION | NON_NUMERIC_QUARANTINE | UNIT_OK,MESURE,150,0,valeur=3.9; date=1993-03-09; point=756/16 || valeur=0.57; date=1993-03-12; point=2400/14 || valeur=6.64; date=1993-03-18; point=3261/14,MIGRER,
staging,raw_types_mesures,parametre_qualite,,SiO3,sio3,Silicates,SIO3,MAPPED,0.95,mg/L,mg/L,mg/L,UNIT_OK,aucune,numeric_decimal_comma + limites_detection + quarantine_non_convertible,INFERIEUR | SUPERIEUR | DECIMAL_COMMA | SCIENTIFIC_NOTATION | NON_NUMERIC_QUARANTINE | UNIT_OK | REFERENCE_ONLY,REFERENCE,1,0,colonne_valeur_absente,QUARANTAINE,Ligne de référentiel/source sans colonne valeur ; hors lot de migration des mesures.
staging,raw_idp_2024_mesures_qualite_globale,parametre_qualite,val_qual,Al,al,Al,AL,MAPPED,0.95,à confirmer,mg/L,mg/L,UNIT_ASSUMED,aucune,numeric_decimal_comma + limites_detection + quarantine_non_convertible,INFERIEUR | SUPERIEUR | DECIMAL_COMMA | SCIENTIFIC_NOTATION | NON_NUMERIC_QUARANTINE | UNIT_MISSING | NON_NUMERIC_PRESENT | UNIT_ASSUMED,MESURE,46,1,"valeur=0,2917; date=2024-09-13; point=S8 (Aval Ferme Agricole sidi kamel) || valeur=0,3252; date=2024-09-18; point=S29 (Aval_Conf_Rejet_Douar Ouled Jrir || valeur=0,2217; date=2024-09-18; point=S30 (Aval_Conf_Rejet_SHZ (Sidi Harazem)",MIGRER_AVEC_FLAG,Unité standard métier appliquée par défaut en l’absence d’unité source fiable.
staging,raw_mesures_qualite_rivieres,parametre_qualite,val_qual_riv,SO3,so3,SO3²-,SO3,MAPPED,0.95,à confirmer,mg/L,mg/L,UNIT_ASSUMED,aucune,numeric_decimal_comma + limites_detection + quarantine_non_convertible,INFERIEUR | SUPERIEUR | DECIMAL_COMMA | SCIENTIFIC_NOTATION | NON_NUMERIC_QUARANTINE | UNIT_MISSING | UNIT_ASSUMED,MESURE,3,0,valeur=0.54; date=1990-02-14; point=4220/14 || valeur=0; date=1994-07-06; point=1508/9 || valeur=0; date=1994-07-11; point=3502/8,MIGRER_AVEC_FLAG,Unité standard métier appliquée par défaut en l’absence d’unité source fiable.
staging,raw_mesures_qualite_barrages,parametre_qualite,val_qual_barr,SO4,so4,SO4²-,SO4,MAPPED,0.95,mg/L,mg/L,mg/L,UNIT_OK,aucune,numeric_decimal_comma + limites_detection + quarantine_non_convertible,INFERIEUR | SUPERIEUR | DECIMAL_COMMA | SCIENTIFIC_NOTATION | NON_NUMERIC_QUARANTINE | UNIT_OK,MESURE,387,0,valeur=42; date=1992-06-05; point=788/21 || valeur=32.64; date=1993-04-15; point=788/21 || valeur=69.1; date=1994-05-30; point=3546/8,MIGRER,
staging,raw_mesures_qualite_nappes,parametre_qualite,val_qual_nap,SO4,so4,SO4²-,SO4,MAPPED,0.95,mg/L,mg/L,mg/L,UNIT_OK,aucune,numeric_decimal_comma + limites_detection + quarantine_non_convertible,INFERIEUR | SUPERIEUR | DECIMAL_COMMA | SCIENTIFIC_NOTATION | NON_NUMERIC_QUARANTINE | UNIT_OK,MESURE,2618,0,valeur=39; date=1988-10-03; point=1652/22 || valeur=19.2; date=1989-03-31; point=2528/15 || valeur=29.3; date=1990-09-21; point=2881/15,MIGRER,
staging,raw_mesures_qualite_rivieres,parametre_qualite,val_qual_riv,SO4,so4,SO4²-,SO4,MAPPED,0.95,mg/L,mg/L,mg/L,UNIT_OK,aucune,numeric_decimal_comma + limites_detection + quarantine_non_convertible,INFERIEUR | SUPERIEUR | DECIMAL_COMMA | SCIENTIFIC_NOTATION | NON_NUMERIC_QUARANTINE | UNIT_OK,MESURE,1788,0,valeur=186.1; date=1988-10-05; point=2496/15 || valeur=213; date=1988-10-06; point=1236/14 || valeur=67; date=1989-03-23; point=609/9,MIGRER,
staging,raw_types_mesures,parametre_qualite,,SO4,so4,SO4²-,SO4,MAPPED,0.95,mg/L,mg/L,mg/L,UNIT_OK,aucune,numeric_decimal_comma + limites_detection + quarantine_non_convertible,INFERIEUR | SUPERIEUR | DECIMAL_COMMA | SCIENTIFIC_NOTATION | NON_NUMERIC_QUARANTINE | UNIT_OK | REFERENCE_ONLY,REFERENCE,1,0,colonne_valeur_absente,QUARANTAINE,Ligne de référentiel/source sans colonne valeur ; hors lot de migration des mesures.
staging,raw_idp_2024_mesures_qualite_globale,parametre_qualite,val_qual,SO4--,so4,SO4²-,SO4,MAPPED,0.95,à confirmer,mg/L,mg/L,UNIT_ASSUMED,aucune,numeric_decimal_comma + limites_detection + quarantine_non_convertible,INFERIEUR | SUPERIEUR | DECIMAL_COMMA | SCIENTIFIC_NOTATION | NON_NUMERIC_QUARANTINE | UNIT_MISSING | UNIT_ASSUMED,MESURE,189,0,"valeur=1234; date=2024-09-13; point=S1 (Aval_conf_Rejet_MOG (Mograne) || valeur=85,7; date=2024-09-13; point=S2 (Barrage de garde) || valeur=82,2; date=2024-09-13; point=S3 (Station Pompage Ferme (Amont Bge de garde)",MIGRER_AVEC_FLAG,Unité standard métier appliquée par défaut en l’absence d’unité source fiable.
staging,raw_suivi_qualite_brg_garde_hebdo,parametre_qualite,val_qual_brg_garde_hebdo,SO4(mg/l),so4_mg_l,SO4²-,SO4,MAPPED,0.95,mg/l,mg/L,mg/L,UNIT_OK,aucune,numeric_decimal_comma + limites_detection + quarantine_non_convertible,INFERIEUR | SUPERIEUR | DECIMAL_COMMA | SCIENTIFIC_NOTATION | NON_NUMERIC_QUARANTINE | UNIT_OK,MESURE,182,0,valeur=95.5; date=2024-01-03; point=n/a || valeur=86.3; date=2024-01-10; point=n/a || valeur=96.4; date=2024-01-17; point=n/a,MIGRER,
