source_schema,source_table,source_pk,source_label,source_code,source_type,source_commune,candidate_master_site_id,candidate_site_code,candidate_site_name,match_method,match_score,distance_m,source_priority,recommended_status,requires_review,reason,run_id,generated_at
infra,huilerie,314,Sté boulmakol,B-UT-01,HUILERIE,,,,,SPATIAL_NEAREST_25M,0.0,,4,ORPHAN_SITE,True,Aucun master site dans la tolerance.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,huilerie,317,Meknasa olive,MA-UT-02,HUILERIE,,,,,SPATIAL_NEAREST_25M,0.0,,4,ORPHAN_SITE,True,Aucun master site dans la tolerance.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,huilerie,114,H.SOUK SABT,ABO-UT-04,HUILERIE,,,,,SPATIAL_NEAREST_25M,0.0,,4,ORPHAN_SITE,True,Aucun master site dans la tolerance.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,huilerie,485,Huilerie IDRISSIA,,HUILERIE,,,,,SPATIAL_NEAREST_25M,0.0,,4,ORPHAN_SITE,True,Aucun master site dans la tolerance.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,huilerie_inventaire_pollution,a394a40d-c29a-4f74-9365-98fe3ad509b6,Barada fréro,BF-UT-02,HUILERIE,Bni ftah,,,,SPATIAL_NEAREST_25M,0.0,,5,ORPHAN_SITE,True,Aucun master site dans la tolerance.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,huilerie_inventaire_pollution,c193b12b-dea4-4bdf-b1cc-12ce2cfff8db,H.SOUK SABT,ABO-UT-04,HUILERIE,SEBAA ROUDI,,,,SPATIAL_NEAREST_25M,0.0,,5,ORPHAN_SITE,True,Aucun master site dans la tolerance.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,huilerie_inventaire_pollution,cf2c8e07-4ebf-4fa5-95b8-8761f3b90d8c,Huile bouchfaa,B-UT-02,HUILERIE,Bouchfaa,,,,SPATIAL_NEAREST_25M,0.0,,5,ORPHAN_SITE,True,Aucun master site dans la tolerance.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,huilerie_inventaire_pollution,5232a595-5fbb-4993-b058-cfd5d954b3a2,Huile taza,T-UT-02,HUILERIE,Taza,,,,SPATIAL_NEAREST_25M,0.0,,5,ORPHAN_SITE,True,Aucun master site dans la tolerance.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,huilerie_inventaire_pollution,d72727de-e1f7-4a38-9680-b4d0f3fae5de,Huilerie Ain jouari,AMT-UT-1,HUILERIE,Ain Maatouf,,,,SPATIAL_NEAREST_25M,0.0,,5,ORPHAN_SITE,True,Aucun master site dans la tolerance.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,huilerie_inventaire_pollution,8e0de048-4d65-4c79-818b-31b01696a92e,Huilerie Aromane,BBT-UT-1,HUILERIE,Oued El Malha,,,,SPATIAL_NEAREST_25M,0.0,,5,ORPHAN_SITE,True,Aucun master site dans la tolerance.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,huilerie_inventaire_pollution,4bf6a654-fff4-4538-b8fd-5af64004b5aa,Huilerie CHAIBI,SFF-UT-1,HUILERIE,Sfassif,,,,SPATIAL_NEAREST_25M,0.0,,5,ORPHAN_SITE,True,Aucun master site dans la tolerance.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,huilerie_inventaire_pollution,e5a6e526-4fdd-4a7e-985a-62ad199178ee,Huilerie Doukali,KHM-UT-2,HUILERIE,Mu. Khemisset,,,,SPATIAL_NEAREST_25M,0.0,,5,ORPHAN_SITE,True,Aucun master site dans la tolerance.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,huilerie_inventaire_pollution,bee862d4-e639-46aa-9510-d12768d716b7,Huilerie IHYHAA,ASB-UT-2,HUILERIE,Ait Siberne,,,,SPATIAL_NEAREST_25M,0.0,,5,ORPHAN_SITE,True,Aucun master site dans la tolerance.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,huilerie_inventaire_pollution,feddb89f-d453-40d6-ae48-f1535dad056e,Huilerie Jaouda,TZG-UT-1,HUILERIE,Sidi Makhfi,,,,SPATIAL_NEAREST_25M,0.0,,5,ORPHAN_SITE,True,Aucun master site dans la tolerance.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,huilerie_inventaire_pollution,8f8ae2fb-0414-48ba-81f2-e97e45205bd4,Huilerie Quassemy Fréres,TZG-UT-2,HUILERIE,Sidi Makhfi,,,,SPATIAL_NEAREST_25M,0.0,,5,ORPHAN_SITE,True,Aucun master site dans la tolerance.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,huilerie_inventaire_pollution,88d988b5-bc19-4a19-838e-aab54ada5555,Huilerie Serraf Ikhouan,BJT-UT-1,HUILERIE,Bni Ounjel Tafraout,,,,SPATIAL_NEAREST_25M,0.0,,5,ORPHAN_SITE,True,Aucun master site dans la tolerance.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,huilerie_inventaire_pollution,73607441-f39a-4bf6-a5af-af7b19fa0b02,Huilerie Tamidet,BJT-UT-1,HUILERIE,Tamidet,,,,SPATIAL_NEAREST_25M,0.0,,5,ORPHAN_SITE,True,Aucun master site dans la tolerance.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,huilerie_inventaire_pollution,fe92cdf1-ccb9-41ae-be30-9da27435169d,Meknasa olive,MA-UT-02,HUILERIE,Meknassa algharbia,,,,SPATIAL_NEAREST_25M,0.0,,5,ORPHAN_SITE,True,Aucun master site dans la tolerance.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,huilerie_inventaire_pollution,8a735aab-52b1-43c2-9ae8-04359e0df138,Najat,T-UT-02,HUILERIE,Tahla,,,,SPATIAL_NEAREST_25M,0.0,,5,ORPHAN_SITE,True,Aucun master site dans la tolerance.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,huilerie_inventaire_pollution,d1672de6-95e8-4a18-b4cd-d63555e9c986,Non-connue 7,KSK_UT01,HUILERIE,KANDAR SIDI KHIAR,,,,SPATIAL_NEAREST_25M,0.0,,5,ORPHAN_SITE,True,Aucun master site dans la tolerance.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,huilerie_inventaire_pollution,80bb765f-d3a9-4fe5-8322-071356943836,Olivier El Hmaidii,BAC-UT-2,HUILERIE,Beni Ahmed Gharbia,,,,SPATIAL_NEAREST_25M,0.0,,5,ORPHAN_SITE,True,Aucun master site dans la tolerance.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,huilerie_inventaire_pollution,a2478ab2-0ed4-41c8-a76a-66b785dd7247,Société Barakat allah,BJT-UT-1,HUILERIE,Bni Ounjel Tafraout,,,,SPATIAL_NEAREST_25M,0.0,,5,ORPHAN_SITE,True,Aucun master site dans la tolerance.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,huilerie_inventaire_pollution,4143059d-4ad8-418b-bd22-d82174f26e45,Societe Hajjy Invest,MSR-UT-1,HUILERIE,Mansoura,,,,SPATIAL_NEAREST_25M,0.0,,5,ORPHAN_SITE,True,Aucun master site dans la tolerance.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,huilerie_inventaire_pollution,3ee1833e-4611-425e-82e4-558231a78bdf,Sté boulmakol,B-UT-01,HUILERIE,Bourd,,,,SPATIAL_NEAREST_25M,0.0,,5,ORPHAN_SITE,True,Aucun master site dans la tolerance.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,huilerie_inventaire_pollution,ea9bdacc-9717-4ba3-a1db-3523ba30a836,Sté oumatan,T-UT-01,HUILERIE,Tahla,,,,SPATIAL_NEAREST_25M,0.0,,5,ORPHAN_SITE,True,Aucun master site dans la tolerance.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,mine,10,,,MINE,,,,,SPATIAL_NEAREST_25M,0.0,,4,ORPHAN_SITE,True,Aucun master site dans la tolerance.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,mine,23,Ste miniere de Taza,,MINE,,,,,SPATIAL_NEAREST_25M,0.0,,4,ORPHAN_SITE,True,Aucun master site dans la tolerance.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,mine,24,STE HERIIERS LAFQUIH 1,,MINE,,,,,SPATIAL_NEAREST_25M,0.0,,4,ORPHAN_SITE,True,Aucun master site dans la tolerance.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,mine,27,Salt factory,,MINE,,,,,SPATIAL_NEAREST_25M,0.0,,4,ORPHAN_SITE,True,Aucun master site dans la tolerance.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,mine,40,STE SORECH  MINES,,MINE,,,,,SPATIAL_NEAREST_25M,0.0,,4,ORPHAN_SITE,True,Aucun master site dans la tolerance.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,mine,41,,,MINE,,,,,SPATIAL_NEAREST_25M,0.0,,4,ORPHAN_SITE,True,Aucun master site dans la tolerance.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,mine,42,,,MINE,,,,,SPATIAL_NEAREST_25M,0.0,,4,ORPHAN_SITE,True,Aucun master site dans la tolerance.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,mine_inventaire_pollution,240d9b88-6e84-4c1d-a578-105427919c46,,,MINE,Oued El Makhazine,,,,SPATIAL_NEAREST_25M,0.0,,5,ORPHAN_SITE,True,Aucun master site dans la tolerance.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
infra,mine_inventaire_pollution,d1702768-81c2-4650-91a3-d0467ea4d0eb,STE HERIIERS LAFQUIH 1,,MINE,Bni Lent,,,,SPATIAL_NEAREST_25M,0.0,,5,ORPHAN_SITE,True,Aucun master site dans la tolerance.,e60088e9-cf94-4e41-ae65-a5390866b4b8,2026-05-19T17:00:26.089667+00:00
