scenario_id,Segment_rejet,Crejet_mg_L,QRejet_m3_s,QSebou_m3_s,QInnaouen_m3_s,QOuergha_m3_s,C_SidiAllalTazi_mg_L,C_BgGarde_mg_L,Statut
SC_QR01_C02_QS01_QI03_QO01,Segment_Pollution_base,150,0.055555556,7.5,50,10,0.037910499,0.04448548,SUFFISANT
SC_QR01_C02_QS01_QI03_QO02,Segment_Pollution_base,150,0.055555556,7.5,50,25,0.022756843,0.032598663,SUFFISANT
SC_QR01_C02_QS01_QI03_QO03,Segment_Pollution_base,150,0.055555556,7.5,50,50,0.009221171,0.016304825,SUFFISANT
SC_QR01_C02_QS01_QI03_QO04,Segment_Pollution_base,150,0.055555556,7.5,50,100,0.007157229,0.003836759,SUFFISANT
SC_QR01_C02_QS01_QI03_QO05,Segment_Pollution_base,150,0.055555556,7.5,50,150,0.009988404,0.006125684,SUFFISANT
SC_QR01_C02_QS01_QI03_QO06,Segment_Pollution_base,150,0.055555556,7.5,50,200,0.010899439,0.007914701,SUFFISANT
SC_QR01_C02_QS01_QI03_QO07,Segment_Pollution_base,150,0.055555556,7.5,50,400,0.007994724,0.007835751,SUFFISANT
SC_QR01_C02_QS02_QI01_QO01,Segment_Pollution_base,150,0.055555556,15,10,10,0.065661572,0.052594002,SUFFISANT
SC_QR01_C02_QS02_QI01_QO02,Segment_Pollution_base,150,0.055555556,15,10,25,0.041509546,0.04838416,SUFFISANT
SC_QR01_C02_QS02_QI01_QO03,Segment_Pollution_base,150,0.055555556,15,10,50,0.014122825,0.02227262,SUFFISANT
SC_QR01_C02_QS02_QI01_QO04,Segment_Pollution_base,150,0.055555556,15,10,100,0.016053995,0.011082744,SUFFISANT
SC_QR01_C02_QS02_QI01_QO05,Segment_Pollution_base,150,0.055555556,15,10,150,0.015343593,0.013096383,SUFFISANT
SC_QR01_C02_QS02_QI01_QO06,Segment_Pollution_base,150,0.055555556,15,10,200,0.012685916,0.01217137,SUFFISANT
SC_QR01_C02_QS02_QI01_QO07,Segment_Pollution_base,150,0.055555556,15,10,400,0.005306101,0.006079943,SUFFISANT
SC_QR01_C02_QS02_QI02_QO01,Segment_Pollution_base,150,0.055555556,15,25,10,0.031920575,0.017094193,SUFFISANT
SC_QR01_C02_QS02_QI02_QO02,Segment_Pollution_base,150,0.055555556,15,25,25,0.038779821,0.026551994,SUFFISANT
SC_QR01_C02_QS02_QI02_QO03,Segment_Pollution_base,150,0.055555556,15,25,50,0.032703463,0.031204091,SUFFISANT
SC_QR01_C02_QS02_QI02_QO04,Segment_Pollution_base,150,0.055555556,15,25,100,0.014710087,0.01917856,SUFFISANT
SC_QR01_C02_QS02_QI02_QO05,Segment_Pollution_base,150,0.055555556,15,25,150,0.006463909,0.009681577,SUFFISANT
SC_QR01_C02_QS02_QI02_QO06,Segment_Pollution_base,150,0.055555556,15,25,200,0.003120089,0.005025211,SUFFISANT
SC_QR01_C02_QS02_QI02_QO07,Segment_Pollution_base,150,0.055555556,15,25,400,0.0040559,0.002827138,SUFFISANT
SC_QR01_C02_QS02_QI03_QO01,Segment_Pollution_base,150,0.055555556,15,50,10,0.020771757,0.032899741,SUFFISANT
SC_QR01_C02_QS02_QI03_QO02,Segment_Pollution_base,150,0.055555556,15,50,25,0.010372147,0.019403342,SUFFISANT
SC_QR01_C02_QS02_QI03_QO03,Segment_Pollution_base,150,0.055555556,15,50,50,0.007177657,0.007570653,SUFFISANT
SC_QR01_C02_QS02_QI03_QO04,Segment_Pollution_base,150,0.055555556,15,50,100,0.012905156,0.00750143,SUFFISANT
SC_QR01_C02_QS02_QI03_QO05,Segment_Pollution_base,150,0.055555556,15,50,150,0.014415752,0.010650315,SUFFISANT
SC_QR01_C02_QS02_QI03_QO06,Segment_Pollution_base,150,0.055555556,15,50,200,0.013512593,0.011590683,SUFFISANT
SC_QR01_C02_QS02_QI03_QO07,Segment_Pollution_base,150,0.055555556,15,50,400,0.007092469,0.007885456,SUFFISANT
SC_QR01_C02_QS03_QI01_QO01,Segment_Pollution_base,150,0.055555556,30,10,10,0.032628179,0.016582036,SUFFISANT
SC_QR01_C02_QS03_QI01_QO02,Segment_Pollution_base,150,0.055555556,30,10,25,0.039230868,0.02712691,SUFFISANT
SC_QR01_C02_QS03_QI01_QO03,Segment_Pollution_base,150,0.055555556,30,10,50,0.032650422,0.031452626,SUFFISANT
SC_QR01_C02_QS03_QI01_QO04,Segment_Pollution_base,150,0.055555556,30,10,100,0.014424982,0.018977156,SUFFISANT
SC_QR01_C02_QS03_QI01_QO05,Segment_Pollution_base,150,0.055555556,30,10,150,0.006261704,0.0094602,SUFFISANT
SC_QR01_C02_QS03_QI01_QO06,Segment_Pollution_base,150,0.055555556,30,10,200,0.002994939,0.004864224,SUFFISANT
SC_QR01_C02_QS03_QI01_QO07,Segment_Pollution_base,150,0.055555556,30,10,400,0.00417253,0.002927114,SUFFISANT
SC_QR01_C02_QS03_QI02_QO01,Segment_Pollution_base,150,0.055555556,30,25,10,0.042223744,0.045823585,SUFFISANT
SC_QR01_C02_QS03_QI02_QO02,Segment_Pollution_base,150,0.055555556,30,25,25,0.0265068,0.035631098,SUFFISANT
SC_QR01_C02_QS03_QI02_QO03,Segment_Pollution_base,150,0.055555556,30,25,50,0.011221427,0.018862847,SUFFISANT
SC_QR01_C02_QS03_QI02_QO04,Segment_Pollution_base,150,0.055555556,30,25,100,0.006109365,0.004708055,SUFFISANT
SC_QR01_C02_QS03_QI02_QO05,Segment_Pollution_base,150,0.055555556,30,25,150,0.009016319,0.005296189,SUFFISANT
SC_QR01_C02_QS03_QI02_QO06,Segment_Pollution_base,150,0.055555556,30,25,200,0.010194745,0.007132835,SUFFISANT
SC_QR01_C02_QS03_QI02_QO07,Segment_Pollution_base,150,0.055555556,30,25,400,0.008031554,0.007671235,SUFFISANT
SC_QR01_C02_QS03_QI03_QO01,Segment_Pollution_base,150,0.055555556,30,50,10,0.010922251,0.008620719,SUFFISANT
SC_QR01_C02_QS03_QI03_QO02,Segment_Pollution_base,150,0.055555556,30,50,25,0.01519238,0.006829737,SUFFISANT
SC_QR01_C02_QS03_QI03_QO03,Segment_Pollution_base,150,0.055555556,30,50,50,0.019743107,0.011696626,SUFFISANT
SC_QR01_C02_QS03_QI03_QO04,Segment_Pollution_base,150,0.055555556,30,50,100,0.020229435,0.016740033,SUFFISANT
SC_QR01_C02_QS03_QI03_QO05,Segment_Pollution_base,150,0.055555556,30,50,150,0.016210621,0.016169922,SUFFISANT
SC_QR01_C02_QS03_QI03_QO06,Segment_Pollution_base,150,0.055555556,30,50,200,0.012105506,0.013547595,SUFFISANT
SC_QR01_C02_QS03_QI03_QO07,Segment_Pollution_base,150,0.055555556,30,50,400,0.003804713,0.005194414,SUFFISANT
SC_QR01_C03_QS01_QI01_QO01,Segment_Pollution_base,200,0.055555556,7.5,10,10,0.071502335,0.093388669,SUFFISANT
SC_QR01_C03_QS01_QI01_QO02,Segment_Pollution_base,200,0.055555556,7.5,10,25,0.048800547,0.032104533,SUFFISANT
SC_QR01_C03_QS01_QI01_QO03,Segment_Pollution_base,200,0.055555556,7.5,10,50,0.046369415,0.04200536,SUFFISANT
SC_QR01_C03_QS01_QI01_QO04,Segment_Pollution_base,200,0.055555556,7.5,10,100,0.020101722,0.02471474,SUFFISANT
SC_QR01_C03_QS01_QI01_QO05,Segment_Pollution_base,200,0.055555556,7.5,10,150,0.008909924,0.012225205,SUFFISANT
SC_QR01_C03_QS01_QI01_QO06,Segment_Pollution_base,200,0.055555556,7.5,10,200,0.007226264,0.006505627,SUFFISANT
SC_QR01_C03_QS01_QI01_QO07,Segment_Pollution_base,200,0.055555556,7.5,10,400,0.007145015,0.006149165,SUFFISANT
SC_QR01_C03_QS01_QI02_QO01,Segment_Pollution_base,200,0.055555556,7.5,25,10,0.047251049,0.068791978,SUFFISANT
SC_QR01_C03_QS01_QI02_QO02,Segment_Pollution_base,200,0.055555556,7.5,25,25,0.02424651,0.030176977,SUFFISANT
SC_QR01_C03_QS01_QI02_QO03,Segment_Pollution_base,200,0.055555556,7.5,25,50,0.035845604,0.023685589,SUFFISANT
SC_QR01_C03_QS01_QI02_QO04,Segment_Pollution_base,200,0.055555556,7.5,25,100,0.029373677,0.028446915,SUFFISANT
SC_QR01_C03_QS01_QI02_QO05,Segment_Pollution_base,200,0.055555556,7.5,25,150,0.018391803,0.021123346,SUFFISANT
SC_QR01_C03_QS01_QI02_QO06,Segment_Pollution_base,200,0.055555556,7.5,25,200,0.011407212,0.014352945,SUFFISANT
SC_QR01_C03_QS01_QI02_QO07,Segment_Pollution_base,200,0.055555556,7.5,25,400,0.002508373,0.003579906,SUFFISANT
SC_QR01_C03_QS01_QI03_QO01,Segment_Pollution_base,200,0.055555556,7.5,50,10,0.050547332,0.059313972,SUFFISANT
SC_QR01_C03_QS01_QI03_QO02,Segment_Pollution_base,200,0.055555556,7.5,50,25,0.030342458,0.043464884,SUFFISANT
SC_QR01_C03_QS01_QI03_QO03,Segment_Pollution_base,200,0.055555556,7.5,50,50,0.012294895,0.021739768,SUFFISANT
SC_QR01_C03_QS01_QI03_QO04,Segment_Pollution_base,200,0.055555556,7.5,50,100,0.009542973,0.005115679,SUFFISANT
SC_QR01_C03_QS01_QI03_QO05,Segment_Pollution_base,200,0.055555556,7.5,50,150,0.013317873,0.008167579,SUFFISANT
SC_QR01_C03_QS01_QI03_QO06,Segment_Pollution_base,200,0.055555556,7.5,50,200,0.014532587,0.010552934,SUFFISANT
SC_QR01_C03_QS01_QI03_QO07,Segment_Pollution_base,200,0.055555556,7.5,50,400,0.010659631,0.01044767,SUFFISANT
SC_QR01_C03_QS02_QI01_QO01,Segment_Pollution_base,200,0.055555556,15,10,10,0.087548755,0.070125341,SUFFISANT
SC_QR01_C03_QS02_QI01_QO02,Segment_Pollution_base,200,0.055555556,15,10,25,0.055346064,0.064512216,SUFFISANT
SC_QR01_C03_QS02_QI01_QO03,Segment_Pollution_base,200,0.055555556,15,10,50,0.018830433,0.029696826,SUFFISANT
SC_QR01_C03_QS02_QI01_QO04,Segment_Pollution_base,200,0.055555556,15,10,100,0.021405328,0.014776993,SUFFISANT
SC_QR01_C03_QS02_QI01_QO05,Segment_Pollution_base,200,0.055555556,15,10,150,0.020458125,0.017461846,SUFFISANT
SC_QR01_C03_QS02_QI01_QO06,Segment_Pollution_base,200,0.055555556,15,10,200,0.016914556,0.016228493,SUFFISANT
SC_QR01_C03_QS02_QI01_QO07,Segment_Pollution_base,200,0.055555556,15,10,400,0.007074802,0.008106591,SUFFISANT
SC_QR01_C03_QS02_QI02_QO01,Segment_Pollution_base,200,0.055555556,15,25,10,0.042560771,0.022792257,SUFFISANT
SC_QR01_C03_QS02_QI02_QO02,Segment_Pollution_base,200,0.055555556,15,25,25,0.051706426,0.035402659,SUFFISANT
SC_QR01_C03_QS02_QI02_QO03,Segment_Pollution_base,200,0.055555556,15,25,50,0.043604616,0.041605458,SUFFISANT
SC_QR01_C03_QS02_QI02_QO04,Segment_Pollution_base,200,0.055555556,15,25,100,0.019613449,0.025571415,SUFFISANT
SC_QR01_C03_QS02_QI02_QO05,Segment_Pollution_base,200,0.055555556,15,25,150,0.008618545,0.01290877,SUFFISANT
SC_QR01_C03_QS02_QI02_QO06,Segment_Pollution_base,200,0.055555556,15,25,200,0.004160119,0.006700281,SUFFISANT
SC_QR01_C03_QS02_QI02_QO07,Segment_Pollution_base,200,0.055555556,15,25,400,0.005407867,0.003769518,SUFFISANT
