base,schema,table,type_table,mode_detection,parametre_observe,parametre_normalise_auto,colonne_parametre,colonne_valeur,unite_detectee,volume_lignes,volume_valeurs_non_nulles,nb_valeurs_nulles,nb_valeurs_negatives,nb_valeurs_non_numeriques,min_valeur,max_valeur,premiere_date,derniere_date,exemple_valeur_1,exemple_valeur_2,exemple_valeur_3,source_origine,commentaire_auto,qualite_detection
abh_sebou_ismail,public,idp_2024_mesures_qualite_globale,qualité,colonne_parametre,Mg++,mg,parametre_qualite,val_qual,à confirmer,189,189,0,0,0,2.4,854.1,2024-09-13,2025-12-14,"63,2","41,9","13,4",abh_sebou_ismail.public.idp_2024_mesures_qualite_globale,paramètre détecté depuis une colonne explicite,forte
abh_sebou_ismail,public,idp_2024_mesures_qualite_globale,qualité,colonne_parametre,Mn,mn,parametre_qualite,val_qual,mg/L,73,73,0,0,29,0.0083,1.099,2024-09-13,2025-12-14,"0,072","0,118","0,175",abh_sebou_ismail.public.idp_2024_mesures_qualite_globale,paramètre détecté depuis une colonne explicite,forte
abh_sebou_ismail,public,idp_2024_mesures_qualite_globale,qualité,colonne_parametre,Mo,mo,parametre_qualite,val_qual,à confirmer,46,46,0,0,40,0.0102,0.0205,2024-09-13,2025-12-14,"<0,010","0,0102","0,0105",abh_sebou_ismail.public.idp_2024_mesures_qualite_globale,paramètre détecté depuis une colonne explicite,forte
abh_sebou_ismail,public,idp_2024_mesures_qualite_globale,qualité,colonne_parametre,Na+,na,parametre_qualite,val_qual,à confirmer,172,172,0,0,0,2.4,7573.0,2024-09-13,2025-12-14,173,247,340,abh_sebou_ismail.public.idp_2024_mesures_qualite_globale,paramètre détecté depuis une colonne explicite,forte
abh_sebou_ismail,public,idp_2024_mesures_qualite_globale,qualité,colonne_parametre,NH4+,nh4,parametre_qualite,val_qual,à confirmer,188,188,0,0,20,0.020571429,3420.0,2024-09-13,2025-12-14,,,,abh_sebou_ismail.public.idp_2024_mesures_qualite_globale,paramètre détecté depuis une colonne explicite,forte
abh_sebou_ismail,public,idp_2024_mesures_qualite_globale,qualité,colonne_parametre,Ni,ni,parametre_qualite,val_qual,à confirmer,46,46,0,0,28,0.01,0.0739,2024-09-13,2025-12-14,"<0,010","0,01","0,0102",abh_sebou_ismail.public.idp_2024_mesures_qualite_globale,paramètre détecté depuis une colonne explicite,forte
abh_sebou_ismail,public,idp_2024_mesures_qualite_globale,qualité,colonne_parametre,NO2-,no2,parametre_qualite,val_qual,mg/L,189,189,0,0,110,0.002,11.128,2024-09-13,2025-12-14,"4,844","0,072","0,028",abh_sebou_ismail.public.idp_2024_mesures_qualite_globale,paramètre détecté depuis une colonne explicite,forte
abh_sebou_ismail,public,idp_2024_mesures_qualite_globale,qualité,colonne_parametre,NO3-,no3,parametre_qualite,val_qual,mg/L,189,189,0,0,23,0.3,207.0,2024-09-13,2025-12-14,"27,2","2,62","1,1",abh_sebou_ismail.public.idp_2024_mesures_qualite_globale,paramètre détecté depuis une colonne explicite,forte
abh_sebou_ismail,public,idp_2024_mesures_qualite_globale,qualité,colonne_parametre,NTK,ntk,parametre_qualite,val_qual,à confirmer,163,163,0,0,1,0.242,3752.0,2024-09-13,2025-12-14,"537,6","58,8","162,4",abh_sebou_ismail.public.idp_2024_mesures_qualite_globale,paramètre détecté depuis une colonne explicite,forte
abh_sebou_ismail,public,idp_2024_mesures_qualite_globale,qualité,colonne_parametre,Pb,pb,parametre_qualite,val_qual,à confirmer,46,46,0,0,30,0.0101,0.0422,2024-09-13,2025-12-14,"<0,005","<0,010","0,0101",abh_sebou_ismail.public.idp_2024_mesures_qualite_globale,paramètre détecté depuis une colonne explicite,forte
