parametre,unites_detectees,source_unite,volume_total,statut
SF,g/L,types_mesures / libellé / nom de colonne,4927,unité détectée
SO3,à confirmer,types_mesures / libellé / nom de colonne,3,unité absente
SO4,mg/L,types_mesures / libellé / nom de colonne,4794,unité détectée
SO4(mg/l),mg/l,types_mesures / libellé / nom de colonne,182,unité détectée
SO4--,à confirmer,types_mesures / libellé / nom de colonne,189,unité absente
SO42-_IC,à confirmer,types_mesures / libellé / nom de colonne,127,unité absente
Saveur,à confirmer,types_mesures / libellé / nom de colonne,1,unité absente
Sb,à confirmer,types_mesures / libellé / nom de colonne,49,unité absente
Se,à confirmer,types_mesures / libellé / nom de colonne,485,unité absente
SiO2(mg/l),mg/l,types_mesures / libellé / nom de colonne,182,unité détectée
SiO3,mg/L,types_mesures / libellé / nom de colonne,191,unité détectée
Sn,à confirmer,types_mesures / libellé / nom de colonne,42,unité absente
"Somme
cations_meq/l",à confirmer,types_mesures / libellé / nom de colonne,89,unité absente
"Somme
cations_mg/l",mg/L,types_mesures / libellé / nom de colonne,89,unité détectée
Sr,à confirmer,types_mesures / libellé / nom de colonne,5,unité absente
Sélénium,à confirmer,types_mesures / libellé / nom de colonne,8,unité absente
Sélénium(mg/l),mg/l,types_mesures / libellé / nom de colonne,182,unité détectée
TA,°F,types_mesures / libellé / nom de colonne,3198,unité détectée
TA/Tas_meq/l,à confirmer,types_mesures / libellé / nom de colonne,89,unité absente
TA/Tas_°F,à confirmer,types_mesures / libellé / nom de colonne,89,unité absente
TAC,mg/L CaCO₃,types_mesures / libellé / nom de colonne,3202,unité détectée
TAC/TACs_meq/l,à confirmer,types_mesures / libellé / nom de colonne,89,unité absente
TAC/TACs_°F,à confirmer,types_mesures / libellé / nom de colonne,89,unité absente
TAC_meq/l,à confirmer,types_mesures / libellé / nom de colonne,32,unité absente
TAC_°F,à confirmer,types_mesures / libellé / nom de colonne,32,unité absente
TA_meq/l,à confirmer,types_mesures / libellé / nom de colonne,32,unité absente
TA_°F,à confirmer,types_mesures / libellé / nom de colonne,32,unité absente
TH,°F,types_mesures / libellé / nom de colonne,2743,unité détectée
T_Air,°C,types_mesures / libellé / nom de colonne,5033,unité détectée
T_air,à confirmer,types_mesures / libellé / nom de colonne,4754,unité absente
T_eau,°C,types_mesures / libellé / nom de colonne,9828,unité détectée
Temperature_Ambiante,à confirmer,types_mesures / libellé / nom de colonne,1,unité absente
Tl,à confirmer,types_mesures / libellé / nom de colonne,14,unité absente
Turbidite,NTU,types_mesures / libellé / nom de colonne,1997,unité détectée
Turbidité,à confirmer,types_mesures / libellé / nom de colonne,4572,unité absente
V,à confirmer,types_mesures / libellé / nom de colonne,42,unité absente
Vanadium(mg/l),mg/l,types_mesures / libellé / nom de colonne,182,unité détectée
Vibrion_Cholerique,à confirmer,types_mesures / libellé / nom de colonne,1,unité absente
Zinc,à confirmer,types_mesures / libellé / nom de colonne,8,unité absente
Zinc(mg/l),mg/l,types_mesures / libellé / nom de colonne,182,unité détectée
Zn,à confirmer,types_mesures / libellé / nom de colonne,280,unité absente
apports_hm,à confirmer,types_mesures / libellé / nom de colonne,34,unité absente
apports_mm3,Mm3,types_mesures / libellé / nom de colonne,85166,unité détectée
cap_equiv_hab,à confirmer,types_mesures / libellé / nom de colonne,41,unité absente
cond_20_c,à confirmer,types_mesures / libellé / nom de colonne,391,unité absente
debit,à confirmer,types_mesures / libellé / nom de colonne,2816,unité absente
debit_jr,à confirmer,types_mesures / libellé / nom de colonne,521433,unité absente
debit_l_s,L/s,types_mesures / libellé / nom de colonne,362,unité détectée
debit_m,m,types_mesures / libellé / nom de colonne,19316,unité détectée
dimension,à confirmer,types_mesures / libellé / nom de colonne,362,unité absente
disqu_secchi,à confirmer,types_mesures / libellé / nom de colonne,391,unité absente
dist_pt_eau_foyer_pollut_m,m,types_mesures / libellé / nom de colonne,46,unité détectée
eau_ss_terr_niv_statique_m_sol,à confirmer,types_mesures / libellé / nom de colonne,243,unité absente
hauteur,à confirmer,types_mesures / libellé / nom de colonne,34,unité absente
hauteur_m,m,types_mesures / libellé / nom de colonne,62359,unité détectée
indice de phénol M:A,Indice,types_mesures / libellé / nom de colonne,27,unité détectée
longueur_km,km,types_mesures / libellé / nom de colonne,28,unité détectée
montant_md,à confirmer,types_mesures / libellé / nom de colonne,34,unité absente
niv_piezometrique_m,m,types_mesures / libellé / nom de colonne,46,unité détectée
niveau_eau_m_ngm,à confirmer,types_mesures / libellé / nom de colonne,85166,unité absente
o2_dissous,à confirmer,types_mesures / libellé / nom de colonne,391,unité absente
pH,pH,types_mesures / libellé / nom de colonne,4754,unité détectée
pH au laboratoire,pH,types_mesures / libellé / nom de colonne,7,unité détectée
p_annuelle,à confirmer,types_mesures / libellé / nom de colonne,2085,unité absente
p_max,à confirmer,types_mesures / libellé / nom de colonne,2085,unité absente
perimetre,à confirmer,types_mesures / libellé / nom de colonne,1,unité absente
ph,pH,types_mesures / libellé / nom de colonne,5457,unité détectée
phenol,à confirmer,types_mesures / libellé / nom de colonne,2,unité absente
precipitation_jr,à confirmer,types_mesures / libellé / nom de colonne,669880,unité absente
profond_tot_m,m,types_mesures / libellé / nom de colonne,46,unité détectée
quantite_t_j,à confirmer,types_mesures / libellé / nom de colonne,233,unité absente
restitutions_mm3,Mm3,types_mesures / libellé / nom de colonne,85166,unité détectée
sat,%,types_mesures / libellé / nom de colonne,1221,unité détectée
"somme
anions_meq/l",à confirmer,types_mesures / libellé / nom de colonne,89,unité absente
"somme
anions_meq/l3",à confirmer,types_mesures / libellé / nom de colonne,28,unité absente
"somme
anions_mg/l",mg/L,types_mesures / libellé / nom de colonne,89,unité détectée
"somme
anions_mg/l4",mg/L,types_mesures / libellé / nom de colonne,28,unité détectée
sup_occupee_ha,ha,types_mesures / libellé / nom de colonne,233,unité détectée
sup_tot_ha,ha,types_mesures / libellé / nom de colonne,233,unité détectée
superficie_ha,ha,types_mesures / libellé / nom de colonne,41,unité détectée
superficie_km2,km2,types_mesures / libellé / nom de colonne,18,unité détectée
surface_km2,km2,types_mesures / libellé / nom de colonne,62359,unité détectée
t_air,à confirmer,types_mesures / libellé / nom de colonne,391,unité absente
t_eau,à confirmer,types_mesures / libellé / nom de colonne,391,unité absente
transfert_mm3,Mm3,types_mesures / libellé / nom de colonne,85166,unité détectée
turbidite,à confirmer,types_mesures / libellé / nom de colonne,391,unité absente
val_evaporation,à confirmer,types_mesures / libellé / nom de colonne,48900,unité absente
val_observees,à confirmer,types_mesures / libellé / nom de colonne,546007,unité absente
val_power_nasa,à confirmer,types_mesures / libellé / nom de colonne,546007,unité absente
val_remplies,à confirmer,types_mesures / libellé / nom de colonne,546007,unité absente
vol_eaux_us_trait_m3_an,m3/an,types_mesures / libellé / nom de colonne,41,unité détectée
vol_preleve_m3_an,m3/an,types_mesures / libellé / nom de colonne,46,unité détectée
volume_mm3,Mm3,types_mesures / libellé / nom de colonne,147525,unité détectée
vrn_hm3,Hm3,types_mesures / libellé / nom de colonne,34,unité détectée
