node_id,geom
248,01010000204F66000000FBCBEE325A1D41C05F76CFCDF91641
249,01010000204F66000080226CF831FE1D414096218E0C6F1741
250,01010000204F6600008013D04495381E41C01E85AB6D541741
251,01010000204F660000805227A0DF871D4100B8AF03C7B21641
252,01010000204F660000802D211FD0801B41800F7A7673711741
253,01010000204F66000000C442EDD9961D4180E09C912DB11641
254,01010000204F66000000F241CF61D81D4140DBF93EE8781641
255,01010000204F66000000DCD781A5A71D4100E02D50598B1641
256,01010000204F66000000FED4384CFD1D4180779C62EE4F1641
257,01010000204F660000008F5374E57A1D414092CB7F3C921641
258,01010000204F66000080779CE2C01E1E4180ED7CBFBA271641
259,01010000204F66000080C876BE2CE51D414027A0C92DD81541
260,01010000204F6600008072F90F5ADF1D4100CE19116C0A1641
261,01010000204F66000080DA8ABD8B6C1D41805CFE038C2F1641
262,01010000204F66000000DD2486DB741D4140795868EC701641
263,01010000204F6600008039B48878971D4140C1A824FF601641
264,01010000204F660000008941209FD71C410071AC8BB6211641
265,01010000204F66000000B6847C75811D41400AD76305C31641
266,01010000204F660000806B09B986D41C41C020B0326FA61741
267,01010000204F660000803C2C54F96E1D4100AE47E106DF1641
268,01010000204F6600000010E937B9C91C4180B0E169F0E11741
269,01010000204F6600008053746429E31B41C0EA7375DB6C1441
270,01010000204F660000004ED151E17D1A41C0B584BC0C2D1B41
271,01010000204F66000080E1E9958F001D4140840D4F2AE51541
272,01010000204F66000080CDAA4F54FB1C4100D34DE29E071641
273,01010000204F660000806B09F9F5CB1B41C08AFD659F221441
274,01010000204F66000000E9B76FBCAC1C4180C5FEF2FC261641
275,01010000204F66000080567D2E75CB1C4180CB7F08F9C21741
276,01010000204F66000000FF213D660D1D4180E4F29F3F8D1741
277,01010000204F66000000FBCB2E74F11C41808A8EA4469E1741
278,01010000204F6600008095438BCC0B1C4140FAEDAB13261441
279,01010000204F660000006B2B7608091D4180B0E1A93DE31741
280,01010000204F660000805374E4A0551B4180C420B0EE231741
281,01010000204F66000000FDF6F56FAA1B41003B700E93FC1641
