source_table,code_debit,ire_station,station_id,date_jr,valeur_source_brute,valeur_brute,valeur_preparee,valeur_cible,unite_source,unite_finale,conversion_regle,flags_qa,ratio_prepare_sur_brut,classification
raw_mesures_debit_jr,1574,1000/23,bc8e6d83-08d3-4bfa-8c78-daa754af79b7,1988-12-22,0.103,0.103,0.0,0.103,m3/s,m3/s,aucune,FLAG_DUPLICATE_TIMESTEP | FLAG_GAP_TIME_SERIES | FLAG_TIMESTEP_IRREGULAR | QA_REQUIRED | SCIENTIFIC_NOTATION_CONVERTED | UNIT_ASSUMED,0.0,CONFLICT_VALUE_TO_REVIEW
raw_mesures_debit_jr,1582,1000/23,bc8e6d83-08d3-4bfa-8c78-daa754af79b7,1988-12-30,0.103,0.103,0.0,0.103,m3/s,m3/s,aucune,FLAG_DUPLICATE_TIMESTEP | FLAG_GAP_TIME_SERIES | FLAG_TIMESTEP_IRREGULAR | QA_REQUIRED | SCIENTIFIC_NOTATION_CONVERTED | UNIT_ASSUMED,0.0,CONFLICT_VALUE_TO_REVIEW
raw_mesures_debit_jr,1583,1000/23,bc8e6d83-08d3-4bfa-8c78-daa754af79b7,1988-12-31,0.104,0.104,0.0,0.104,m3/s,m3/s,aucune,FLAG_DUPLICATE_TIMESTEP | FLAG_GAP_TIME_SERIES | FLAG_TIMESTEP_IRREGULAR | QA_REQUIRED | SCIENTIFIC_NOTATION_CONVERTED | UNIT_ASSUMED,0.0,CONFLICT_VALUE_TO_REVIEW
raw_mesures_debit_jr,1584,1000/23,bc8e6d83-08d3-4bfa-8c78-daa754af79b7,1989-01-01,0.104,0.104,0.0,0.104,m3/s,m3/s,aucune,FLAG_DUPLICATE_TIMESTEP | FLAG_GAP_TIME_SERIES | FLAG_TIMESTEP_IRREGULAR | QA_REQUIRED | SCIENTIFIC_NOTATION_CONVERTED | UNIT_ASSUMED,0.0,CONFLICT_VALUE_TO_REVIEW
raw_mesures_debit_jr,1585,1000/23,bc8e6d83-08d3-4bfa-8c78-daa754af79b7,1989-01-02,0.104,0.104,0.0,0.104,m3/s,m3/s,aucune,FLAG_DUPLICATE_TIMESTEP | FLAG_GAP_TIME_SERIES | FLAG_TIMESTEP_IRREGULAR | QA_REQUIRED | SCIENTIFIC_NOTATION_CONVERTED | UNIT_ASSUMED,0.0,CONFLICT_VALUE_TO_REVIEW
raw_mesures_debit_jr,1593,1000/23,bc8e6d83-08d3-4bfa-8c78-daa754af79b7,1989-01-10,0.104,0.104,0.0,0.104,m3/s,m3/s,aucune,FLAG_DUPLICATE_TIMESTEP | FLAG_GAP_TIME_SERIES | FLAG_TIMESTEP_IRREGULAR | QA_REQUIRED | SCIENTIFIC_NOTATION_CONVERTED | UNIT_ASSUMED,0.0,CONFLICT_VALUE_TO_REVIEW
raw_mesures_debit_jr,1594,1000/23,bc8e6d83-08d3-4bfa-8c78-daa754af79b7,1989-01-11,0.104,0.104,0.0,0.104,m3/s,m3/s,aucune,FLAG_DUPLICATE_TIMESTEP | FLAG_GAP_TIME_SERIES | FLAG_TIMESTEP_IRREGULAR | QA_REQUIRED | SCIENTIFIC_NOTATION_CONVERTED | UNIT_ASSUMED,0.0,CONFLICT_VALUE_TO_REVIEW
raw_mesures_debit_jr,1595,1000/23,bc8e6d83-08d3-4bfa-8c78-daa754af79b7,1989-01-12,0.103,0.103,0.0,0.103,m3/s,m3/s,aucune,FLAG_DUPLICATE_TIMESTEP | FLAG_GAP_TIME_SERIES | FLAG_TIMESTEP_IRREGULAR | QA_REQUIRED | SCIENTIFIC_NOTATION_CONVERTED | UNIT_ASSUMED,0.0,CONFLICT_VALUE_TO_REVIEW
raw_mesures_debit_jr,1611,1000/23,bc8e6d83-08d3-4bfa-8c78-daa754af79b7,1989-01-28,0.101,0.101,0.0,0.101,m3/s,m3/s,aucune,FLAG_DUPLICATE_TIMESTEP | FLAG_GAP_TIME_SERIES | FLAG_TIMESTEP_IRREGULAR | QA_REQUIRED | SCIENTIFIC_NOTATION_CONVERTED | UNIT_ASSUMED,0.0,CONFLICT_VALUE_TO_REVIEW
raw_mesures_debit_jr,1626,1000/23,bc8e6d83-08d3-4bfa-8c78-daa754af79b7,1989-02-12,0.106,0.106,0.0,0.106,m3/s,m3/s,aucune,FLAG_DUPLICATE_TIMESTEP | FLAG_GAP_TIME_SERIES | FLAG_TIMESTEP_IRREGULAR | QA_REQUIRED | SCIENTIFIC_NOTATION_CONVERTED | UNIT_ASSUMED,0.0,CONFLICT_VALUE_TO_REVIEW
