table_source,id_ligne,date,code_source,nom_source,parametre,raison_orphelin,proposition_action
staging.raw_suivi_qualite_brg_garde_hebdo,77,2024-01-10,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,78,2024-01-10,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,79,2024-01-17,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,80,2024-01-17,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,81,2024-01-17,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,82,2024-01-17,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,83,2024-01-17,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,84,2024-01-17,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,85,2024-01-17,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,86,2024-01-17,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,87,2024-01-17,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,88,2024-01-17,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,89,2024-01-17,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,90,2024-01-17,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
staging.raw_suivi_qualite_brg_garde_hebdo,91,2024-01-17,,,,code absent,"rattacher via referentiel si code corrige, sinon quarantaine"
