domaine,table_source,table_cible,parametre_source,parametre_canonique,unite,type_metier,entite_geo_type,entite_geo_id,entite_geo_code,entite_geo_nom,champ_rattachement,x,y,geom_present,statut_geo,commentaire,action_recommandee,volume_total,volume_geo_ok,volume_no_ref,volume_no_xy,volume_ambigu,volume_referentiel_manquant
idp,staging.raw_idp_2024_mesures_qualite_globale,,Cd,Cd,,idp_2024,point_prelevement,,,,coord_x/coord_y,491643.0,351675.0,false,GEO_AMBIGU,volume=15 | xy=15,RATTACHER_MANUELLEMENT,15,0,0,0,15,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,Cd,Cd,,idp_2024,point_prelevement,,,,coord_x/coord_y,415869.0,434092.0,false,GEO_NO_REF,volume=27 | xy=27,BACKLOG_GEO,27,0,27,0,0,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,Cd,Cd,,idp_2024,point_pollution,b57c0c10-c128-4389-983e-81325767bcb9,,AVAL REJET INDUSTRIEL MERJA,coord_x/coord_y,392616.0,408748.0,true,GEO_XY_OK,volume=4 | xy=4,MIGRER_AVEC_FLAG,4,4,0,0,0,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,Cl-,Cl-,,idp_2024,point_prelevement,,,,coord_x/coord_y,405084.0,424294.0,false,GEO_AMBIGU,volume=81 | xy=81,RATTACHER_MANUELLEMENT,81,0,0,0,81,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,Cl-,Cl-,,idp_2024,point_prelevement,,,,coord_x/coord_y,404650.0,423453.0,false,GEO_NO_REF,volume=77 | xy=65,BACKLOG_GEO,77,0,77,0,0,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,Cl-,Cl-,,idp_2024,point_eau,bceda482-06c9-4271-978a-76bd70c7cede,,Forage CHELIK Arbi,coord_x/coord_y,410379.0,436981.0,true,GEO_XY_OK,volume=31 | xy=31,MIGRER_AVEC_FLAG,31,31,0,0,0,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,Co,Co,,idp_2024,point_prelevement,,,,coord_x/coord_y,491643.0,351675.0,false,GEO_AMBIGU,volume=15 | xy=15,RATTACHER_MANUELLEMENT,15,0,0,0,15,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,Co,Co,,idp_2024,point_prelevement,,,,coord_x/coord_y,415869.0,434092.0,false,GEO_NO_REF,volume=27 | xy=27,BACKLOG_GEO,27,0,27,0,0,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,Co,Co,,idp_2024,point_pollution,b57c0c10-c128-4389-983e-81325767bcb9,,AVAL REJET INDUSTRIEL MERJA,coord_x/coord_y,392616.0,408748.0,true,GEO_XY_OK,volume=4 | xy=4,MIGRER_AVEC_FLAG,4,4,0,0,0,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,CrT,CrT,,idp_2024,point_prelevement,,,,coord_x/coord_y,491643.0,351675.0,false,GEO_AMBIGU,volume=15 | xy=15,RATTACHER_MANUELLEMENT,15,0,0,0,15,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,CrT,CrT,,idp_2024,point_prelevement,,,,coord_x/coord_y,415869.0,434092.0,false,GEO_NO_REF,volume=27 | xy=27,BACKLOG_GEO,27,0,27,0,0,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,CrT,CrT,,idp_2024,point_pollution,b57c0c10-c128-4389-983e-81325767bcb9,,AVAL REJET INDUSTRIEL MERJA,coord_x/coord_y,392616.0,408748.0,true,GEO_XY_OK,volume=4 | xy=4,MIGRER_AVEC_FLAG,4,4,0,0,0,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,Cu,Cu,,idp_2024,point_prelevement,,,,coord_x/coord_y,491643.0,351675.0,false,GEO_AMBIGU,volume=15 | xy=15,RATTACHER_MANUELLEMENT,15,0,0,0,15,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,Cu,Cu,,idp_2024,point_prelevement,,,,coord_x/coord_y,415869.0,434092.0,false,GEO_NO_REF,volume=27 | xy=27,BACKLOG_GEO,27,0,27,0,0,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,Cu,Cu,,idp_2024,point_pollution,b57c0c10-c128-4389-983e-81325767bcb9,,AVAL REJET INDUSTRIEL MERJA,coord_x/coord_y,392616.0,408748.0,true,GEO_XY_OK,volume=4 | xy=4,MIGRER_AVEC_FLAG,4,4,0,0,0,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,DBO5,DBO5,,idp_2024,point_prelevement,,,,coord_x/coord_y,405084.0,424294.0,false,GEO_AMBIGU,volume=80 | xy=80,RATTACHER_MANUELLEMENT,80,0,0,0,80,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,DBO5,DBO5,,idp_2024,point_prelevement,,,,coord_x/coord_y,404650.0,423453.0,false,GEO_NO_REF,volume=71 | xy=59,BACKLOG_GEO,71,0,71,0,0,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,DBO5,DBO5,,idp_2024,point_pollution,7c4f5497-77f7-4d0c-abc2-a8d151da4d5b,,TRL_DOM_R2,coord_x/coord_y,510740.0,452252.0,true,GEO_XY_OK,volume=12 | xy=12,MIGRER_AVEC_FLAG,12,12,0,0,0,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,DCO,DCO,,idp_2024,point_prelevement,,,,coord_x/coord_y,405084.0,424294.0,false,GEO_AMBIGU,volume=80 | xy=80,RATTACHER_MANUELLEMENT,80,0,0,0,80,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,DCO,DCO,,idp_2024,point_prelevement,,,,coord_x/coord_y,,,false,GEO_NO_XY,volume=80 | xy=57,EXCLURE_TEMPORAIREMENT,80,0,0,80,0,0
idp,staging.raw_idp_2024_mesures_qualite_globale,,DCO,DCO,,idp_2024,point_pollution,7c4f5497-77f7-4d0c-abc2-a8d151da4d5b,,TRL_DOM_R2,coord_x/coord_y,510740.0,452252.0,true,GEO_XY_OK,volume=12 | xy=12,MIGRER_AVEC_FLAG,12,12,0,0,0,0
