source_row_id,ire_barrage,date_jr,barrage_id,rn,exclusion_reason
61334,2847/15,2019-01-26,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61344,2847/15,2019-01-27,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61354,2847/15,2019-01-28,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61364,2847/15,2019-01-29,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61374,2847/15,2019-01-30,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61384,2847/15,2019-01-31,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61394,2847/15,2019-02-01,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61404,2847/15,2019-02-02,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61414,2847/15,2019-02-03,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61424,2847/15,2019-02-04,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61434,2847/15,2019-02-05,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61444,2847/15,2019-02-06,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61454,2847/15,2019-02-07,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61464,2847/15,2019-02-08,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61474,2847/15,2019-02-09,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61484,2847/15,2019-02-10,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61494,2847/15,2019-02-11,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61504,2847/15,2019-02-12,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61514,2847/15,2019-02-13,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61524,2847/15,2019-02-14,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61534,2847/15,2019-02-15,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61544,2847/15,2019-02-16,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61554,2847/15,2019-02-17,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61564,2847/15,2019-02-18,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61574,2847/15,2019-02-19,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61584,2847/15,2019-02-20,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61594,2847/15,2019-02-21,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61604,2847/15,2019-02-22,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61614,2847/15,2019-02-23,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61624,2847/15,2019-02-24,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61634,2847/15,2019-02-25,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61644,2847/15,2019-02-26,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61654,2847/15,2019-02-27,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61664,2847/15,2019-02-28,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61674,2847/15,2019-03-01,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
61684,2847/15,2019-03-02,b4b6fa28-6aaa-4ddc-96ab-7ebfe817e0c1,2,DUPLICATE_SOURCE_KEY
