table_a,id_point_a,x_a,y_a,table_b,id_point_b,x_b,y_b,distance_m,type_match
staging.raw_idp_2024_mesures_qualite_marche_cadre,1865,531709.0,295177.0,staging.raw_idp_2024_src_pollution_globale,150,531013.0,294194.0,1204.452,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1866,531709.0,295177.0,staging.raw_idp_2024_src_pollution_globale,150,531013.0,294194.0,1204.452,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1867,531709.0,295177.0,staging.raw_idp_2024_src_pollution_globale,150,531013.0,294194.0,1204.452,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1868,531709.0,295177.0,staging.raw_idp_2024_src_pollution_globale,150,531013.0,294194.0,1204.452,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1869,531709.0,295177.0,staging.raw_idp_2024_src_pollution_globale,150,531013.0,294194.0,1204.452,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,187,396150.0,380300.0,staging.raw_idp_2024_src_pollution_globale,243,379171.0,391091.0,20117.955,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1870,531709.0,295177.0,staging.raw_idp_2024_src_pollution_globale,150,531013.0,294194.0,1204.452,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1871,531709.0,295177.0,staging.raw_idp_2024_src_pollution_globale,150,531013.0,294194.0,1204.452,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1872,531709.0,295177.0,staging.raw_idp_2024_src_pollution_globale,150,531013.0,294194.0,1204.452,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1873,531709.0,295177.0,staging.raw_idp_2024_src_pollution_globale,150,531013.0,294194.0,1204.452,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1874,531709.0,295177.0,staging.raw_idp_2024_src_pollution_globale,150,531013.0,294194.0,1204.452,distant
staging.raw_idp_2024_mesures_qualite_marche_cadre,1875,531709.0,295177.0,staging.raw_idp_2024_src_pollution_globale,150,531013.0,294194.0,1204.452,distant
