edge_id,direction_status,z_start,z_end,dz,slope,longueur_m,decision,commentaire_collaboratrice,besoin_validation_metier,date_validation,validateur
589,FLAT_SEGMENT,86.0,86.0,0.0,0.0,304.2077235909937,,,,,
613,FLAT_SEGMENT,145.0,144.0,1.0,0.00033895608375674884,2950.2346997779455,,,,,
617,FLAT_SEGMENT,33.0,32.0,1.0,9.143158363241697e-05,10937.139665220138,,,,,
618,FLAT_SEGMENT,32.0,33.0,-1.0,-0.0001925547760519074,5193.32742871269,,,,,
651,FLAT_SEGMENT,0.0,0.0,0.0,0.0,1264.1362970943155,,,,,
653,FLAT_SEGMENT,3.0,2.0,1.0,9.999999970643178e-05,10000.000029356823,,,,,
655,FLAT_SEGMENT,0.0,0.0,0.0,0.0,4654.5114450446345,,,,,
656,FLAT_SEGMENT,0.0,0.0,0.0,0.0,345.4885999230754,,,,,
664,FLAT_SEGMENT,132.0,132.0,0.0,0.0,6.833344510856902,,,,,
665,FLAT_SEGMENT,132.0,132.0,0.0,0.0,6.494608749446885,,,,,
666,FLAT_SEGMENT,132.0,132.0,0.0,0.0,5528.677477289445,,,,,
668,FLAT_SEGMENT,3.0,4.0,-1.0,-0.00017332970341290676,5769.3515901183755,,,,,
669,FLAT_SEGMENT,47.0,46.0,1.0,0.00017991769995230568,5558.096842417893,,,,,
670,FLAT_SEGMENT,54.0,53.0,1.0,0.00032794325213126327,3049.3080540646033,,,,,
672,FLAT_SEGMENT,55.0,54.0,1.0,0.00018374315033343376,5442.379746865811,,,,,
676,FLAT_SEGMENT,100.0,99.0,1.0,0.00018173027972195554,5502.660324575432,,,,,
682,FLAT_SEGMENT,4.0,3.0,1.0,0.0001759626382736917,5683.024588689124,,,,,
684,FLAT_SEGMENT,6.0,6.0,0.0,0.0,5402.793309403432,,,,,
686,FLAT_SEGMENT,72.0,71.0,1.0,0.0002195633490947857,4554.4942000693345,,,,,
687,FLAT_SEGMENT,82.0,83.0,-1.0,-0.00018570984269039416,5384.744209100151,,,,,
696,FLAT_SEGMENT,32.0,32.0,0.0,0.0,5538.775518063538,,,,,
698,FLAT_SEGMENT,9.0,8.0,1.0,0.0002822530144098049,3542.920532101364,,,,,
700,FLAT_SEGMENT,23.0,22.0,1.0,0.00019288041313204982,5184.559612672438,,,,,
701,FLAT_SEGMENT,24.0,23.0,1.0,0.00018530689972739493,5396.45313515633,,,,,
703,FLAT_SEGMENT,26.0,26.0,0.0,0.0,5276.971969187826,,,,,
704,FLAT_SEGMENT,27.0,26.0,1.0,0.00018366672435142587,5444.644387987293,,,,,
707,FLAT_SEGMENT,11.0,12.0,-1.0,-0.00038451231613214037,2600.6969297086,,,,,
712,FLAT_SEGMENT,20.0,19.0,1.0,0.00018428026191057913,5426.517140968922,,,,,
714,FLAT_SEGMENT,22.0,22.0,0.0,0.0,5534.403835649349,,,,,
715,FLAT_SEGMENT,24.0,24.0,0.0,0.0,5257.862886992416,,,,,
716,FLAT_SEGMENT,11.0,12.0,-1.0,-0.00018126853509577365,5516.677229567987,,,,,
717,FLAT_SEGMENT,19.0,20.0,-1.0,-0.0001838512281736726,5439.180417415343,,,,,
719,FLAT_SEGMENT,14.0,14.0,0.0,0.0,5472.1540238704565,,,,,
720,FLAT_SEGMENT,13.0,14.0,-1.0,-0.00017822765535207205,5610.8015224943265,,,,,
721,FLAT_SEGMENT,13.0,13.0,0.0,0.0,5702.539533686024,,,,,
722,FLAT_SEGMENT,16.0,15.0,1.0,0.00018510695322747402,5402.282208011501,,,,,
725,FLAT_SEGMENT,16.0,15.0,1.0,0.00018600142695921864,5376.302839973658,,,,,
727,FLAT_SEGMENT,14.0,13.0,1.0,0.00018054589581659573,5538.757862520629,,,,,
728,FLAT_SEGMENT,15.0,14.0,1.0,0.00018165365637174644,5504.9814023756435,,,,,
